,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,黄冈市,421100,16.45321635134095
1,2002,湖北省,420000,黄冈市,421100,16.513286441027336
2,2003,湖北省,420000,黄冈市,421100,16.093020219261938
3,2004,湖北省,420000,黄冈市,421100,16.694095090495924
4,2005,湖北省,420000,黄冈市,421100,16.205165512605074
5,2006,湖北省,420000,黄冈市,421100,16.79687588743133
6,2007,湖北省,420000,黄冈市,421100,16.97020955549456
7,2008,湖北省,420000,黄冈市,421100,16.106695726082645
8,2009,湖北省,420000,黄冈市,421100,16.439235070616093
9,2010,湖北省,420000,黄冈市,421100,16.180324973028522
10,2011,湖北省,420000,黄冈市,421100,15.946671818239905
11,2012,湖北省,420000,黄冈市,421100,15.890928808494545
12,2013,湖北省,420000,黄冈市,421100,16.6794195037648
13,2014,湖北省,420000,黄冈市,421100,16.213925518621743
14,2015,湖北省,420000,黄冈市,421100,16.230369042860573
15,2016,湖北省,420000,黄冈市,421100,16.606565258918
16,2017,湖北省,420000,黄冈市,421100,16.69011505198735
17,2018,湖北省,420000,黄冈市,421100,16.66840101107441
18,2019,湖北省,420000,黄冈市,421100,16.73723674279736
19,2020,湖北省,420000,黄冈市,421100,16.651992892694366
20,2021,湖北省,420000,黄冈市,421100,17.141714692545236
21,2022,湖北省,420000,黄冈市,421100,14.559162921240937
