,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,贵州省,520000,黔西南布依族苗族自治州,522300,16.781365821472466
1,2002,贵州省,520000,黔西南布依族苗族自治州,522300,17.088049060395424
2,2003,贵州省,520000,黔西南布依族苗族自治州,522300,17.349340692884265
3,2004,贵州省,520000,黔西南布依族苗族自治州,522300,16.518162418194148
4,2005,贵州省,520000,黔西南布依族苗族自治州,522300,16.782484414517167
5,2006,贵州省,520000,黔西南布依族苗族自治州,522300,17.03570056390224
6,2007,贵州省,520000,黔西南布依族苗族自治州,522300,16.96683852630848
7,2008,贵州省,520000,黔西南布依族苗族自治州,522300,16.31800086740796
8,2009,贵州省,520000,黔西南布依族苗族自治州,522300,17.345004757068054
9,2010,贵州省,520000,黔西南布依族苗族自治州,522300,17.360230274191778
10,2011,贵州省,520000,黔西南布依族苗族自治州,522300,16.004671206786302
11,2012,贵州省,520000,黔西南布依族苗族自治州,522300,16.588575729007072
12,2013,贵州省,520000,黔西南布依族苗族自治州,522300,17.13734791018049
13,2014,贵州省,520000,黔西南布依族苗族自治州,522300,17.08383052285418
14,2015,贵州省,520000,黔西南布依族苗族自治州,522300,17.59978155939797
15,2016,贵州省,520000,黔西南布依族苗族自治州,522300,17.31333591928892
16,2017,贵州省,520000,黔西南布依族苗族自治州,522300,17.18377335139242
17,2018,贵州省,520000,黔西南布依族苗族自治州,522300,17.118182498942236
18,2019,贵州省,520000,黔西南布依族苗族自治州,522300,17.621466872904364
19,2020,贵州省,520000,黔西南布依族苗族自治州,522300,17.351425950609734
20,2021,贵州省,520000,黔西南布依族苗族自治州,522300,17.47632706891157
21,2022,贵州省,520000,黔西南布依族苗族自治州,522300,15.230064704131069
