date,北京,天津,石家庄,太原,呼和浩特,沈阳,大连,长春,哈尔滨,上海,南京,杭州,宁波,合肥,福州,厦门,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,南宁,海口,重庆,成都,贵阳,昆明,拉萨,西安,兰州,西宁,银川,乌鲁木齐
31/01/2020,44333,12698,4248,3310,4653,13534,7958,7090,11395,41032,14423,11884,4595,6935,5024,6804,4475,5708,9.684,11738,16880,8322,38442,25272,4752,1845,28908,22102,6498,7036,1149,18548,8896,3157,2669,6954
29/02/2020,7584,1536,125,329,40,2077,2462,1090,1755,8035,1240,1660,426,423,638,1433,286,678,1661,472,0,811,8348,4157,524,191,2868,3219,1087,328,292,807,1620,684,592,267
31/03/2020,13298,4140,429,1363,292,5380,5007,3962,3818,22469,6010,6206,2221,2262,2106,4023,1291,1983,3523,3459,69,3304,20823,14211,1806,509,10628,11602,3175,2867,406,6733,4607,2049,1087,3808
30/04/2020,22775,6094,1576,2692,1278,8776,7097,5990,5034,33112,9379,9164,2472,4390,3307,5659,2800,3493,5839,5832,2727,6324,26659,20728,2801,1174,21088,17853,4523,4302,722,11588,6922,3192,1943,6816
31/05/2020,32819,7816,2387,3246,1655,9130,7816,6256,4604,37348,12002,11228,4794,5419,4162,7202,3631,4428,7309,8257,6506,7873,31559,24997,3537,1283,26002,20233,4709,5698,807,15254,8182,3533,2418,7406
30/06/2020,32836,8348,2566,3375,2049,10568,8699,7159,6189,39671,12551,12401,4226,5318,4544,7178,4020,4940,8508,8783,10344,8262,36910,26867,3876,1378,28870,21556,5531,6187,833,16153,8859,3598,2338,7904
31/07/2020,33047,9144,2743,3545,2096,11649,7850,7484,7073,44278,13731,13077,4707,6334,4712,7633,4320,5681,9243,9298,12677,10099,41008,29595,4527,1401,29332,23666,6491,6698,873,18180,8149,3740,2397,4062
31/08/2020,40855,9524,3063,3940,2235,12303,7077,7795,8793,43758,13393,12918,4492,6135,4948,7876,4187,5349,9839,9449,14906,10390,42950,29922,4711,1381,28334,25450,6671,7307,878,18547,9019,3665,2365,13
30/09/2020,48436,11244,3465,3759,2336,12851,10147,8290,9387,46409,13723,13482,4703,6349,5256,7640,4582,5639,10065,9983,17705,10150,42368,30439,4527,1535,33294,24636,6533,7032,902,18460,9522,3605,2437,6165
31/10/2020,46964,10957,3607,3947,2458,13392,10053,8047,10677,45294,14765,14125,5265,6632,5779,7581,4974,5829,9007,10033,18211,10942,41867,29837,4754,1634,33590,25118,6590,6687,889,19318,9166,3443,2471,6989
