date,time_weights
2021-09-24,-1.271723473239644e-08
2021-09-25,-1.3036440619416784e-08
2021-09-26,-1.2573337392335008e-08
2021-09-27,-1.253696447634627e-08
2021-09-28,-1.31899939708177e-08
2021-09-29,-1.2580697099102505e-08
2021-09-30,-1.2890997055152532e-08
2021-10-01,3.892020972212022e-05
2021-10-02,3.921646912302521e-05
2021-10-03,3.954682588167985e-05
2021-10-04,3.952596554089775e-05
2021-10-05,3.9075366366190445e-05
2021-10-06,3.8862332343999104e-05
2021-10-07,3.860125131535835e-05
2021-10-08,3.887803733660793e-05
2021-10-09,3.9181195808104956e-05
2021-10-10,3.957892686938095e-05
2021-10-11,3.952597570964415e-05
2021-10-12,3.975661167433615e-05
2021-10-13,3.950549512557816e-05
2021-10-14,3.9284292637007134e-05
2021-10-15,3.906354954748865e-05
2021-10-16,3.932851694981641e-05
2021-10-17,3.9599764982332123e-05
2021-10-18,3.9599764982390006e-05
2021-10-19,3.954238948337544e-05
2021-10-20,3.882066782271233e-05
2021-10-21,3.855316728547171e-05
2021-10-22,3.878234104681702e-05
2021-10-23,3.886233040187116e-05
2021-10-24,3.887031426604349e-05
2021-10-25,3.9012955935190494e-05
2021-10-26,3.894702721645462e-05
2021-10-27,3.868811526035725e-05
2021-10-28,3.824818317217381e-05
2021-10-29,3.82848273102964e-05
2021-10-30,3.8248186925718546e-05
2021-10-31,3.814764187730075e-05
2021-11-01,0.32955357806155744
2021-11-02,0.3372313139715802
2021-11-03,0.3320052066618056
