,unit_weights
Anhui,0.014669133597266994
Beijing,0.015566960395836946
Chongqing,0.01603917371639986
Gansu,0.03143548574090049
Guangdong,0.012626476814375573
Guangxi,0.0005036986576954241
Guizhou,0.012895140182792126
Hainan,0.014800422159294151
Hebei,0.01884833640800422
Heilongjiang,0.025445563409697232
Henan,0.013693140299955246
Hubei,0.017242632742346158
Hunan,0.00912320565676311
Inner Mongolia,0.004914517658846941
Jiangsu,0.0033317303111584395
Jiangxi,0.013196253995809955
Jilin,0.02522906983030992
Liaoning,0.017244988172122826
Ningxia,0.01644016082054056
Qinghai,0.01833834042746869
Shaanxi,0.011042993916257307
Shandong,0.017049473037535304
Shanghai,0.019103407947066334
Shanxi,0.013852141671451976
Sichuan,0.011362282634641133
Tianjin,0.011083069411360856
Xinjiang,0.01847058745916432
Yunnan,0.010373450642490378
Zhejiang,0.0175725173538774
Haerbin,0.025445515764351077
Beijing 1,0.015566960395836946
Guangzhou,0.012626476511395361
Guangzhou 1,0.012626476511395361
Tianjin 1,0.011083069411360856
Tianjin 2,0.011083069411360856
Huhehaote,0.0049144095182698955
Huhehaote 1,0.0049144095182698955
Shijiazhuang,0.018848328223260578
Shenzhen,0.01262647665208093
Shenzhen 1,0.01262647665208093
Xian,0.011042975985544119
Chengdu,0.011362289395348517
Anyang,0.013693089841739206
Langfang,0.018848322806689535
Quanzhou,0.013953292764656228
Nanchang,0.013196262571557931
Tangshan,0.018848334018840424
Guangan,0.011362218210321047
Suuzhou,0.014669086731088798
Beihai,0.0005039077134193733
Guiyang,0.012895149598530747
Qingdao,0.01704948222759386
Wuhan,0.01724263049728597
Hunan 1,0.00912320565676311
Tianjin 3,0.011083069411360856
Chongqing 1,0.01603917371639986
Fujian 1,0.013953278637985112
Heilongjiang 1,0.02544557120704806
Heilongjiang 2,0.02544557120704806
Beijing 2,0.015566960395836946
Wulumuqi,0.01847056795553508
Dalian,0.017244988049196885
Shanghai 1,0.019103407947066334
Beijing 3,0.015566960395836946
Jilin 1,0.02522906983030992
Zhengzhou,0.013693155264765083
Shijiazhuang 1,0.018848328223260578
Nanjing,0.003331825354024778
Suzhou,0.00333180074385301
