,unit_weights
Anhui,1.7812233821793587e-10
Beijing,2.0915763278018183e-09
Chongqing,0.007735049770242336
Gansu,0.09428333768131066
Guangdong,6.111840631891274e-11
Guangxi,2.0169244993381657e-11
Guizhou,1.2002001447551314e-10
Hainan,2.2169509607258542e-10
Hebei,0.026404281623370253
Heilongjiang,0.10775177845750522
Henan,1.0695472528545066e-10
Hubei,0.008149573867912893
Hunan,3.319171851972305e-11
Inner Mongolia,2.5681401189577275e-11
Jiangsu,2.469096774407092e-11
Jiangxi,1.2770379020489637e-10
Jilin,0.092182064095985
Liaoning,0.008659618529463365
Ningxia,2.2167098227876817e-10
Qinghai,0.0016095523927699114
Shaanxi,3.816783607458939e-11
Shandong,0.021715483496667326
Shanghai,0.012047820687357462
Shanxi,5.965143328024945e-11
Sichuan,8.73170228159717e-11
Tianjin,4.087436630900554e-11
Xinjiang,0.006112790620374754
Yunnan,1.1269893930664015e-10
Zhejiang,0.027874966992597276
Haerbin,0.10775117043924719
Beijing 1,2.0915763278018183e-09
Guangzhou,6.106366826922134e-11
Guangzhou 1,6.106366826922134e-11
Tianjin 1,4.087436630900554e-11
Tianjin 2,4.087436630900554e-11
Huhehaote,2.5394391630138178e-11
Huhehaote 1,2.5394391630138178e-11
Shijiazhuang,0.026404214850955964
Shenzhen,6.112032262485438e-11
Shenzhen 1,6.112032262485438e-11
Xian,3.802888622316888e-11
Chengdu,8.719663993540171e-11
Anyang,1.0704110334256487e-10
Langfang,0.026404124787796968
Quanzhou,1.204666526925299e-10
Nanchang,1.2746706913304963e-10
Tangshan,0.02640427018711467
Guangan,8.722646774866753e-11
Suuzhou,1.791209677719213e-10
Beihai,1.9844032053434282e-11
Guiyang,1.1979793192675573e-10
Qingdao,0.02171538959899415
Wuhan,0.008149545708404949
Hunan 1,3.319171851972305e-11
Tianjin 3,4.087436630900554e-11
Chongqing 1,0.007735049770242336
Fujian 1,1.2073831274229588e-10
Heilongjiang 1,0.10775187026252372
Heilongjiang 2,0.10775187026252372
Beijing 2,2.0915763278018183e-09
Wulumuqi,0.006112470193323805
Dalian,0.008659594629168543
Shanghai 1,0.012047820687357462
Beijing 3,2.0915763278018183e-09
Jilin 1,0.092182064095985
Zhengzhou,1.0672062549264985e-10
Shijiazhuang 1,0.026404214850955964
Nanjing,2.4551091333972022e-11
Suzhou,2.460779931404116e-11
