,unit_weights
Anhui,0.015981401204827776
Beijing,0.01430082489973374
Chongqing,0.011961954841085653
Fujian,0.014241113428017899
Gansu,0.015889174657761407
Guangdong,0.014457092606483866
Guangxi,0.013119487555621784
Guizhou,0.013983360674831986
Hainan,0.025636342759379028
Hebei,0.015263311182486193
Heilongjiang,0.00604427590513982
Henan,0.012182396266569124
Hubei,0.012389960118785199
Inner Mongolia,0.018643774541682333
Jiangsu,0.01519444035864211
Jiangxi,0.016767306199875168
Jilin,0.01670800702734584
Liaoning,0.015209872077654533
Ningxia,0.020436073037737475
Qinghai,0.013448219435501112
Shaanxi,0.01309599117614301
Shandong,0.012757675084304232
Shanghai,0.015693141425268654
Shanxi,0.010025466207374713
Sichuan,0.013941818656740579
Tianjin,0.016554352073470453
Xinjiang,0.015298615694301703
Yunnan,0.013776591464194748
Zhejiang,0.01502142454787807
Haerbin,0.00604422159584813
Beijing 1,0.01430082489973374
Guangzhou,0.014457095343765275
Guangzhou 1,0.014457095343765275
Tianjin 1,0.016554352073470453
Tianjin 2,0.016554352073470453
Huhehaote,0.01864376614113371
Huhehaote 1,0.01864376614113371
Shijiazhuang,0.015263320935260052
Shenzhen,0.014457092469796734
Shenzhen 1,0.014457092469796734
Xian,0.01309599391846362
Chengdu,0.013941826561818197
Anyang,0.012182321491497058
Langfang,0.015263326568869768
Quanzhou,0.01424112219574661
Nanchang,0.01676730820077629
Tangshan,0.015263313471497987
Guangan,0.013941785424899551
Suuzhou,0.015981353967565295
Beihai,0.013119474943453526
Guiyang,0.01398336822110396
Qingdao,0.012757693969654755
Wuhan,0.012389967065037803
Hunan 1,0.01730063606994274
Tianjin 3,0.016554352073470453
Chongqing 1,0.011961954841085653
Fujian 1,0.014241110152299154
Heilongjiang 1,0.006044271214938863
Heilongjiang 2,0.006044271214938863
Beijing 2,0.01430082489973374
Wulumuqi,0.01529860830080717
Dalian,0.01520987490663049
Shanghai 1,0.015693141425268654
Beijing 3,0.01430082489973374
Jilin 1,0.01670800702734584
Shijiazhuang 1,0.015263320935260052
Gansu 1,0.015889174657761407
Dalian 1,0.015209874771839521
Suzhou,0.015194452012527561
