date,time_weights
2022-01-26,-1.3838258832989753e-22
2022-01-27,-8.469322292218873e-23
2022-01-28,-1.820967420326962e-22
2022-01-29,-1.1482782107685983e-22
2022-01-30,-1.127309105187499e-22
2022-01-31,-5.720160356453458e-23
2022-02-01,-5.2433960417790656e-23
2022-02-02,-1.3360375268298725e-22
2022-02-03,-1.2600851674255562e-22
2022-02-04,-1.1985686456175317e-22
2022-02-05,-1.7679227692654054e-22
2022-02-06,-1.578862609140974e-22
2022-02-07,-1.2380924181360962e-22
2022-02-08,-1.657667806368202e-22
2022-02-09,-1.360340943191919e-22
2022-02-10,-1.5847507500125587e-22
2022-02-11,-9.699425504485028e-23
2022-02-12,-1.1993331751297943e-22
2022-02-13,-1.4566642028908293e-22
2022-02-14,-1.32802554202392e-22
2022-02-15,-1.6867535010381085e-22
2022-02-16,-1.2101318254553503e-22
2022-02-17,-8.878438015005314e-23
2022-02-18,-1.2832254841294241e-22
2022-02-19,-1.111620256407442e-22
2022-02-20,-1.4047491225986168e-22
2022-02-21,-6.319650540091365e-23
2022-02-22,-1.3092762015044785e-22
2022-02-23,-9.055962893476392e-23
2022-02-24,-1.8265011063821264e-22
2022-02-25,-7.863365695840786e-23
2022-02-26,-1.9924692619034081e-22
2022-02-27,-1.1153406660473634e-22
2022-02-28,-1.2547859942220372e-22
2022-03-01,0.9999999999999997
