,unit_weights
Anhui,0.015159614990406644
Beijing,0.024062898740269404
Chongqing,0.014762670043203176
Fujian,0.02191714542342722
Gansu,0.00978488698092893
Guangdong,0.00854254230904483
Guangxi,0.020568566003411847
Guizhou,0.019916876098534687
Hainan,0.015479155395116677
Hebei,0.018256244409104387
Heilongjiang,0.010169832779203546
Henan,0.011576814879747356
Hubei,0.010004087289247789
Hunan,0.011723691508201718
Inner Mongolia,0.014577151928234946
Jiangsu,0.01379830290755308
Jiangxi,0.007602813518273465
Jilin,0.01082362649341667
Liaoning,0.016271128584174236
Ningxia,0.022407323561620323
Qinghai,0.007268998578219388
Shaanxi,0.006505594361376677
Shandong,0.017266430491730708
Shanghai,0.01957964006344307
Shanxi,0.010016135779104273
Sichuan,0.009918242753202447
Tianjin,0.019960522592549223
Xinjiang,0.006768504326594065
Yunnan,0.01803016898425832
Zhejiang,6.190034398583851e-10
Haerbin,0.010169944065332035
Beijing 1,0.024062898740269408
Guangzhou,0.008542537097082116
Guangzhou 1,0.008542537097082116
Tianjin 1,0.01996052259254922
Tianjin 2,0.01996052259254922
Huhehaote,0.014577226731867758
Huhehaote 1,0.014577226731867758
Shijiazhuang,0.01825621287481101
Shenzhen,0.008542542652638204
Shenzhen 1,0.008542542652638204
Xian,0.006505605780453115
Chengdu,0.009918209335269313
Anyang,0.011577102469736653
Langfang,0.018256202032693795
Quanzhou,0.021917142536451596
Nanchang,0.007602806236055064
Tangshan,0.018256235619272223
Guangan,0.009918539066380076
Suuzhou,0.01515989267713714
Beihai,0.020568613285600033
Guiyang,0.019916863717980408
Qingdao,0.01726637037678945
Wuhan,0.010004058685646775
Hunan 1,0.011723691508201718
Tianjin 3,0.01996052259254922
Chongqing 1,0.014762670043203177
Fujian 1,0.021917148721163307
Heilongjiang 1,0.010169834249985068
Heilongjiang 2,0.010169834249985068
Beijing 2,0.024062898740269404
Wulumuqi,0.006768536176231541
Dalian,0.016271119872182636
Shanghai 1,0.019579640063443073
Beijing 3,0.024062898740269404
Zhengzhou,0.011576765555490028
Nanjing,0.013798221820112158
Gansu 1,0.00978488698092893
Dalian 1,0.016271120248585624
Suzhou,0.013798242396585144
