,unit_weights
Anhui,0.010776637110871913
Chongqing,0.01652385835307871
Fujian,0.011086940242326157
Gansu,1.1230179790169612e-09
Guangdong,0.013557228547244695
Guangxi,0.015014174389889215
Guizhou,0.0056386213370074045
Hainan,0.019208322240835247
Hebei,0.02851193614307341
Heilongjiang,0.01756670777334647
Henan,0.0038797421121228156
Hubei,0.016605934883961067
Hunan,0.010959946779253459
Inner Mongolia,0.02448221822942601
Jiangsu,0.012828395417075953
Jiangxi,0.01529980019516302
Jilin,0.004000107259204917
Liaoning,0.013196609252816512
Ningxia,0.006440617245056362
Qinghai,0.014613760295660016
Shaanxi,0.013814216825692312
Shandong,0.01879737944420449
Shanghai,0.018033449842436145
Shanxi,0.009480278317666435
Sichuan,0.013857522472975703
Xinjiang,0.02169272402883099
Yunnan,0.006769573779948214
Zhejiang,0.011315266630730528
Haerbin,0.01756687324216654
Beijing 1,0.010201659433646515
Guangzhou,0.013557226119450412
Guangzhou 1,0.013557226119450412
Tianjin 1,0.017507884630691417
Tianjin 2,0.017507884630691417
Huhehaote,0.024482687655670684
Huhehaote 1,0.024482687655670684
Shijiazhuang,0.028511983738061988
Shenzhen,0.013557228834626418
Shenzhen 1,0.013557228834626418
Xian,0.013814232724254255
Chengdu,0.01385749777942847
Langfang,0.028513064039310993
Quanzhou,0.011086925453463464
Nanchang,0.01529978154051789
Tangshan,0.028511878053925833
Guangan,0.013857678222037692
Suuzhou,0.010776885461640283
Beihai,0.015014205741124427
Guiyang,0.005638622105222138
Qingdao,0.018797310596841504
Wuhan,0.016605912149323294
Hunan 1,0.010959946779253459
Tianjin 3,0.017507884630691417
Chongqing 1,0.01652385835307871
Fujian 1,0.011086948602260711
Heilongjiang 1,0.017566708042474947
Heilongjiang 2,0.017566708042474947
Beijing 2,0.010201659433646515
Wulumuqi,0.021692935146751337
Dalian,0.013196600828987493
Shanghai 1,0.018033449842436145
Beijing 3,0.010201659433646515
Jilin 1,0.004000107259204917
Zhengzhou,0.0038797096857174063
Shijiazhuang 1,0.028511983738061988
Nanjing,0.012828344193011638
Gansu 1,1.1230179790169612e-09
Dalian 1,0.013196601213781464
Suzhou,0.012828358616749368
