,unit_weights
Anhui,0.008217623542844941
Beijing,0.014600676932389702
Chongqing,0.023485204100303192
Fujian,0.014828140719542091
Gansu,0.008568034403559908
Guangdong,0.01400781813289707
Guangxi,0.01908853209540355
Guizhou,0.01580724703268288
Hainan,6.193379366340655e-10
Hebei,0.010945294856661392
Heilongjiang,0.04595851826717524
Henan,0.022647903144888827
Hubei,0.021859582511998127
Inner Mongolia,2.4524279488248466e-09
Jiangsu,0.01120701170971889
Jiangxi,0.005232020365746304
Jilin,0.0054574927605775545
Liaoning,0.011148370173620411
Ningxia,1.9065289086880907e-09
Qinghai,0.01783995708790647
Shaanxi,0.019177772461141017
Shandong,0.02046276270121224
Shanghai,0.009312644733797585
Shanxi,0.030840158098011165
Sichuan,0.015965037996783834
Tianjin,0.006041023691130065
Xinjiang,0.010811305997131915
Yunnan,0.01659254983081638
Zhejiang,0.011864136231429172
Beijing 1,0.014600676932389702
Guangzhou,0.014007816639010058
Guangzhou 1,0.014007816639010058
Tianjin 1,0.006041023691130065
Tianjin 2,0.006041023691130065
Huhehaote,1.6057294368224423e-09
Huhehaote 1,1.6057294368224423e-09
Shijiazhuang,0.010945325400415566
Shenzhen,0.014007817883584524
Shenzhen 1,0.014007817883584524
Xian,0.01917771992855898
Haerbin,0.04595787605048091
Chengdu,0.015965070106558298
Anyang,0.022647345428648068
Langfang,0.010945333718550354
Quanzhou,0.014828164136020677
Nanchang,0.005232014439904376
Tangshan,0.010945302825841602
Guangan,0.015964540582854715
Suuzhou,0.008217412349768612
Beihai,0.019088319972433723
Guiyang,0.01580725096030336
Qingdao,0.020462881303162293
Wuhan,0.021859629157720318
Hunan 1,0.003203589356308243
Tianjin 3,0.006041023691130065
Chongqing 1,0.023485204100303192
Fujian 1,0.01482812632801103
Heilongjiang 1,0.045958582235691714
Heilongjiang 2,0.045958582235691714
Beijing 2,0.014600676932389702
Wulumuqi,0.010811227919680116
Dalian,0.011148377555842427
Shanghai 1,0.009312644733797585
Beijing 3,0.014600676932389702
Jilin 1,0.0054574927605775545
Shijiazhuang 1,0.010945325400415566
Gansu 1,0.008568034403559908
Dalian 1,0.011148377240073917
Suzhou,0.011207050683965087
