,unit_weights
Anhui,0.02564753752621949
Chongqing,1.1833900666825386e-08
Fujian,1.2830500511370758e-09
Gansu,4.4089504691367125e-09
Guangdong,4.906058264008411e-10
Guangxi,7.71809379506005e-10
Guizhou,1.0570114466789758e-09
Hainan,3.204053075054856e-08
Hebei,0.026111172191060343
Heilongjiang,0.03164792907092534
Henan,0.06192287763539865
Hubei,0.023640062303214956
Hunan,4.759997643605709e-09
Inner Mongolia,0.04075766724442223
Jiangsu,0.007632455066835369
Jiangxi,0.017017382997908136
Jilin,0.011295241793815507
Liaoning,0.019355199157604034
Ningxia,1.4141487703267563e-08
Qinghai,0.019725565174700713
Shaanxi,0.017926195147481675
Shandong,0.014034758851635624
Shanghai,3.184979232948359e-09
Shanxi,0.024734979023025898
Sichuan,1.2837421821491612e-05
Xinjiang,0.026752973325920717
Yunnan,3.113645823002078e-09
Zhejiang,9.75949210540745e-10
Haerbin,0.03164782900251141
Beijing 1,0.032881060407605155
Guangzhou,4.899780362366188e-10
Guangzhou 1,4.899780362366188e-10
Tianjin 1,1.402777780901404e-08
Tianjin 2,1.402777780901404e-08
Huhehaote,0.04075786431351936
Huhehaote 1,0.04075786431351936
Shijiazhuang,0.026111157111443958
Shenzhen 1,4.899490790722334e-10
Xian,0.01792618818418031
Chengdu,1.2831518325682523e-05
Langfang,0.026111128715987236
Quanzhou,1.2821272740525392e-09
Nanchang,0.017017309877063954
Tangshan,0.026111173938132823
Guangan,1.2766807262760092e-05
Suuzhou,0.02564729055853311
Beihai,7.695545614998359e-10
Guiyang,1.0559067142135726e-09
Qingdao,0.014034747440273524
Wuhan,0.023640054002683923
Hunan 1,4.759997643605709e-09
Tianjin 3,1.402777780901404e-08
Chongqing 1,1.1833900666825386e-08
Fujian 1,1.283174005542411e-09
Heilongjiang 1,0.03164793023607817
Heilongjiang 2,0.03164793023607817
Beijing 2,0.032881060407605155
Wulumuqi,0.026752951662437678
Dalian,0.019355172198980367
Shanghai 1,3.184979232948359e-09
Beijing 3,0.032881060407605155
Jilin 1,0.011295241793815507
Zhengzhou,0.06192317541212049
Shijiazhuang 1,0.026111157111443958
Nanjing,0.007632446701236285
Gansu 1,4.4089504691367125e-09
Dalian 1,0.019355171970512855
Suzhou,0.007632451545232728
