,unit_weights
Anhui,1.1146391521178181e-10
Beijing,4.931393130955767e-11
Chongqing,0.09248496090141943
Fujian,0.045662035970666925
Guangdong,2.5444816478912057e-10
Guangxi,1.3489814141640112e-10
Guizhou,0.040820695861522226
Hebei,6.353527301668702e-11
Heilongjiang,8.665046126325543e-11
Henan,6.407784488811933e-11
Hubei,1.692316947596707e-10
Hunan,0.07429162294825294
Inner Mongolia,7.248781678823946e-11
Jiangsu,9.528698751020973e-11
Jiangxi,0.02434248066669006
Jilin,1.199417261172247e-10
Liaoning,7.496341371938543e-11
Ningxia,9.086307713605049e-11
Qinghai,5.1452913674877626e-11
Shaanxi,8.709775811939856e-11
Shandong,6.315739729863779e-11
Shanghai,0.08290444924673064
Shanxi,9.242240076419229e-11
Sichuan,0.11666994830284506
Tianjin,9.147130414753379e-11
Yunnan,9.784836687074094e-11
Zhejiang,2.861198835989452e-09
Haerbin,8.480962983422815e-11
Beijing 1,4.931393130955767e-11
Guangzhou,2.5333158803391813e-10
Guangzhou 1,2.5333158803391813e-10
Tianjin 1,9.147130414753379e-11
Tianjin 2,9.147130414753379e-11
Huhehaote,7.087157031896617e-11
Huhehaote 1,7.087157031896617e-11
Shijiazhuang,6.21226335726316e-11
Shenzhen,2.532799071914951e-10
Shenzhen 1,2.532799071914951e-10
Xian,8.594415950783065e-11
Anyang,6.121000233582777e-11
Langfang,6.152994242623994e-11
Quanzhou,0.04566160680782157
Nanchang,0.024341517708768783
Tangshan,6.287876077829083e-11
Guangan,0.11665799233404113
Guiyang,0.04081957704208086
Qingdao,6.10566790905013e-11
Wuhan,1.6847312517227437e-10
Hunan 1,0.07429162294825294
Tianjin 3,9.147130414753379e-11
Chongqing 1,0.09248496090141943
Fujian 1,0.045662071224713774
Heilongjiang 1,8.697747162614946e-11
Heilongjiang 2,8.697747162614946e-11
Beijing 2,4.931393130955767e-11
Wulumuqi,6.6229371498771e-11
Dalian,7.334758615767108e-11
Shanghai 1,0.08290444924673064
Beijing 3,4.931393130955767e-11
Jilin 1,1.199417261172247e-10
Zhengzhou,6.270116235669125e-11
Shijiazhuang 1,6.21226335726316e-11
Nanjing,9.385744025139096e-11
Gansu 1,1.1079924558313934e-10
Dalian 1,7.334023429633148e-11
Suzhou,9.450503221192835e-11
