,unit_weights
Anhui,0.017148223403436892
Beijing,0.008225327062518837
Chongqing,0.010801027112371433
Gansu,0.009882525536333217
Guangdong,0.01673154285022861
Guangxi,0.016547550325506345
Guizhou,0.01050583617233255
Hainan,0.018795028769580578
Hebei,0.013288848526843129
Heilongjiang,0.015262838260739993
Henan,0.017447848583525584
Hubei,0.011505216460305676
Hunan,0.016344382206634166
Inner Mongolia,0.019399840473837835
Jiangsu,0.014816225753553038
Jiangxi,0.0177374217217839
Jilin,0.013413743542043935
Liaoning,0.015584224097270193
Ningxia,0.011979801356458979
Qinghai,0.010289751013510708
Shaanxi,0.01646442381832698
Shandong,0.01637118735826375
Shanghai,0.014980087785964569
Shanxi,0.018077824990984544
Sichuan,0.006925653775916017
Tianjin,0.017595809168283804
Xinjiang,0.014794562911065642
Yunnan,1.2806024102301931e-08
Zhejiang,0.015839908306115744
Haerbin,0.015262842416778794
Beijing 1,0.008225327062518837
Guangzhou,0.016731543978918306
Guangzhou 1,0.016731543978918306
Tianjin 1,0.017595809168283804
Tianjin 2,0.017595809168283804
Huhehaote,0.01939983971745438
Huhehaote 1,0.01939983971745438
Shijiazhuang,0.013288853639233973
Shenzhen,0.016731544048541797
Shenzhen 1,0.016731544048541797
Xian,0.016464425124526016
Chengdu,0.006925690459276223
Anyang,0.017447851206813064
Langfang,0.013288856929612486
Quanzhou,0.02026606969114955
Nanchang,0.017737423391008714
Tangshan,0.013288850378387014
Guangan,0.006926199587178024
Suuzhou,0.017148228360119717
Beihai,0.016547568050026985
Guiyang,0.010505851351044301
Qingdao,0.016371189182559098
Wuhan,0.011505220379263265
Hunan 1,0.016344382206634166
Tianjin 3,0.017595809168283804
Chongqing 1,0.010801027112371433
Fujian 1,0.02026607220452445
Heilongjiang 1,0.015262837745470196
Heilongjiang 2,0.015262837745470196
Beijing 2,0.008225327062518837
Wulumuqi,0.014794567555461267
Dalian,0.015584227480689637
Shanghai 1,0.014980087785964569
Beijing 3,0.008225327062518837
Jilin 1,0.013413743542043935
Zhengzhou,0.017447849456996265
Shijiazhuang 1,0.013288853639233973
Nanjing,0.014816228273528029
Suzhou,0.014816226772631202
