,unit_weights
Anhui,2.4015937060273163e-10
Beijing,4.804193020625293e-11
Chongqing,4.8506859564989515e-11
Gansu,2.7563289539237853e-10
Guangdong,0.022745552250717203
Guangxi,0.04734516055138896
Guizhou,0.15069170525923892
Hainan,0.07702545898373583
Hebei,3.464442228140001e-10
Heilongjiang,8.100708583379393e-10
Henan,2.414165592791814e-10
Hubei,0.021607685008486265
Inner Mongolia,2.98779712918882e-09
Jiangsu,7.858487047590016e-11
Jiangxi,0.010977177974647112
Jilin,0.017021322318400645
Liaoning,7.792291708585537e-11
Ningxia,1.144967872329821e-10
Qinghai,1.4392957599814507e-10
Shaanxi,5.4849307288831873e-11
Shandong,5.874384731391628e-10
Shanghai,5.2540537062200854e-11
Shanxi,1.3849065141413966e-10
Sichuan,3.4459913993833664e-11
Tianjin,0.010681689859849346
Xinjiang,3.7598640132965966e-09
Yunnan,9.460124506234753e-10
Zhejiang,0.0020630429090699003
Haerbin,8.096457709464884e-10
Beijing 1,4.804193020625293e-11
Guangzhou,0.022745541873238708
Guangzhou 1,0.022745541873238708
Tianjin 1,0.010681689859849346
Tianjin 2,0.010681689859849346
Huhehaote,2.988890003728909e-09
Huhehaote 1,2.988890003728909e-09
Shijiazhuang,3.461371560569154e-10
Shenzhen,0.022745541264453353
Shenzhen 1,0.022745541264453353
Xian,5.458861196326746e-11
Chengdu,3.386985716331899e-11
Anyang,2.4070273573379863e-10
Langfang,3.4600639375356884e-10
Quanzhou,0.10861902318750574
Nanchang,0.010977156757871857
Tangshan,3.463022845501858e-10
Guangan,3.4211048196211934e-11
Suuzhou,2.3920879808195756e-10
Beihai,0.047344829519249294
Guiyang,0.15069138101982735
Qingdao,5.87036393268284e-10
Wuhan,0.02160767611950423
Hunan 1,0.05193343425475318
Tianjin 3,0.010681689859849346
Chongqing 1,4.8506859564989515e-11
Fujian 1,0.10861911936961621
Heilongjiang 1,8.101188762447186e-10
Heilongjiang 2,8.101188762447186e-10
Beijing 2,4.804193020625293e-11
Wulumuqi,3.7599147175692884e-09
Dalian,7.759487737787193e-11
Shanghai 1,5.2540537062200854e-11
Beijing 3,4.804193020625293e-11
Jilin 1,0.017021322318400645
Shijiazhuang 1,3.461371560569154e-10
Gansu 1,2.7563289539237853e-10
Dalian 1,7.759341140676203e-11
Suzhou,7.841475224306919e-11
