,unit_weights
Beijing,0.06321050059040684
Chongqing,0.15373324532877716
Fujian,0.01121383834948259
Gansu,2.128266184536546e-10
Guangdong,1.6396720986147426e-09
Hainan,1.9776098208113914e-10
Heilongjiang,1.6725127957581057e-10
Hubei,0.20361312833750908
Hunan,0.07829066817922915
Jiangxi,1.0501340392099635e-09
Jilin,5.494092577176203e-10
Liaoning,0.004877660644629092
Ningxia,0.024684465311915538
Qinghai,1.0774680972471271e-10
Shaanxi,0.0039297525290777745
Shanghai,2.347269547258467e-09
Tianjin,0.021359028049048816
Xinjiang,1.3192420625385902e-10
Yunnan,6.77372716892179e-11
Haerbin,1.6529426502105925e-10
Beijing 1,0.06321050059040684
Guangzhou,1.6379367808994726e-09
Guangzhou 1,1.6379367808994358e-09
Tianjin 1,0.021359028049048816
Tianjin 2,0.021359028049048816
Huhehaote,1.952189525940646e-09
Huhehaote 1,1.952189525940655e-09
Shijiazhuang,3.4993287213614887e-10
Shenzhen,1.6378565406836359e-09
Shenzhen 1,1.6378565406836359e-09
Xian,0.003929725243704079
Chengdu,0.039265812217278144
Anyang,0.0735631467898629
Langfang,3.491690291991435e-10
Quanzhou,0.011213778221847975
Nanchang,1.04691491302478e-09
Tangshan,3.5090543324816357e-10
Guangan,0.03926146518044817
Suuzhou,0.012916493545971472
Beihai,1.5840379854223522e-10
Guiyang,0.0024796292302712267
Qingdao,7.918166284800422e-10
Beijing 2,0.06321050059040684
Wulumuqi,1.2890275073968394e-10
Dalian,0.00487762427514257
Jilin 1,5.494092577176181e-10
Zhengzhou,0.07356333295233056
Shijiazhuang 1,3.4993287213611045e-10
Nanjing,1.1558871806859673e-09
Gansu 1,2.128266184536546e-10
Dalian 1,0.004877624050581927
Suzhou,1.1567568365555135e-09
