,unit_weights
Anhui,0.013742573551111676
Beijing,8.805393349070627e-09
Chongqing,0.02230095368037823
Fujian,3.5887779421044583e-09
Gansu,0.01818153924337604
Guangdong,0.015333604181721472
Guangxi,0.02535790240071432
Guizhou,0.027870029378381653
Hainan,0.021186156477244204
Hebei,0.015204876456439793
Heilongjiang,0.015957772937830222
Henan,0.023956285717425533
Hubei,0.04023879906183976
Inner Mongolia,0.00934662450476752
Jiangsu,0.013579713440937096
Jiangxi,0.016466333690276846
Jilin,0.009684327020453319
Liaoning,0.009669869898737781
Ningxia,0.02205265263940797
Qinghai,0.030802320879125523
Shaanxi,0.015731502796735707
Shandong,0.015562382793395248
Shanghai,0.0156605035019051
Shanxi,0.013840618705097712
Sichuan,2.987607937535885e-09
Tianjin,3.456307315032112e-08
Xinjiang,0.020496703535830003
Yunnan,0.07079054208064546
Zhejiang,0.010095501428093016
Wuhan,0.04023878782999995
Hunan 1,1.521512073921985e-08
Tianjin 3,3.456307315032112e-08
Chongqing 1,0.02230095368037823
Fujian 1,3.5889930718127298e-09
Heilongjiang 1,0.015957772798888138
Heilongjiang 2,0.015957772798888138
Beijing 2,8.805393349070627e-09
Wulumuqi,0.02049669856258865
Dalian,0.009669876999954346
Shanghai 1,0.0156605035019051
Beijing 3,8.805393349070627e-09
Jilin 1,0.009684327020453319
Shijiazhuang 1,0.015204877783420388
Gansu 1,0.01818153924337604
Dalian 1,0.009669877042916872
Suzhou,0.013579714323513235
Beijing 1,8.805393349070627e-09
Guangzhou,0.01533360503915027
Guangzhou 1,0.01533360503915027
Tianjin 1,3.456307315032112e-08
Tianjin 2,3.456307315032112e-08
Huhehaote,0.009346629125650869
Huhehaote 1,0.009346629125650869
Shijiazhuang,0.015204877783420388
Shenzhen,0.015333605091462107
Shenzhen 1,0.015333605091462107
Xian,0.015731503444318336
Haerbin,0.01595777399668739
Chengdu,2.9865561165598826e-09
Anyang,0.023956270144985508
Langfang,0.015204878593307606
Quanzhou,3.5875278256315272e-09
Nanchang,0.016466334326996856
Tangshan,0.015204876948014945
Guangan,2.986941681173729e-09
Suuzhou,0.0137425841623527
Beihai,0.02535783219426127
Guiyang,0.02787000611609728
Qingdao,0.015562383773385695
