date,state,total,avg,intensity,coal_co2,coke_co2,gasoline_co2,kerosene_co2,diesel_co2,fuel_co2,gas_co2
2000,北京市,10184.388,7.5051,4.109,5174.9254,1286.1202,312.1994,357.1747,251.6108,284.1402,235.9741
2000,天津市,8630.57,8.6219,5.265,4704.8253,411.4852,329.2737,57.1601,612.5205,252.0865,116.9046
2000,河北省,30122.904,4.5135,5.919,23051.3627,3516.4396,399.5918,9.8102,561.9317,156.591,167.1303
2000,山西省,31407.287,9.6697,19.106,27137.2207,3676.4457,260.1857,19.3166,250.0609,39.3776,24.6799
2000,内蒙古自治区,12949.401,5.4593,9.243,11241.1326,820.4214,189.809,4.7077,213.0493,98.2538,0.2165
2000,辽宁省,35140.057,8.3987,7.526,18232.0139,2514.8479,437.7528,56.3401,611.3426,940.7825,436.2274
2000,吉林省,11358.865,4.2352,6.237,8015.5043,488.4381,265.5452,9.962,228.5793,161.5687,64.514
2000,黑龙江省,19054.604,5.0051,5.858,11064.4859,208.5778,714.7199,26.5451,1270.0191,429.2223,498.793
2000,上海市,17305.434,10.5457,3.802,8554.6914,2061.9794,390.2493,169.2024,546.9287,1566.8611,54.9885
2000,江苏省,24331.477,3.3208,2.835,16686.2985,1098.8498,548.5455,118.2686,1069.493,641.836,5.1958
2000,浙江省,16479.655,3.5857,2.73,10245.697,336.3937,574.5817,34.1685,1345.9952,578.6797,
2000,安徽省,14612.27,2.3246,4.81,11243.7964,1527.232,200.7331,7.7752,440.5436,148.7282,
2000,福建省,6641.322,1.9476,1.694,4109.0899,286.8482,307.8357,23.0827,661.8073,168.7657,
2000,江西省,6901.317,1.6634,3.445,4697.0623,589.7916,171.2118,8.5345,324.797,108.4311,
2000,山东省,26077.297,2.8981,3.053,16550.3505,1216.6706,552.1185,146.5449,1065.9282,1091.4446,98.07
2000,河南省,20972.963,2.2105,4.082,16600.7721,1222.1693,353.9627,43.5534,480.531,182.4623,243.1183
2000,湖北省,16851.542,2.8274,3.941,11512.5147,1594.7054,495.4482,55.5504,809.9777,338.2606,19.7006
2000,湖南省,9784.841,1.4911,2.65,6346.1895,858.4254,337.972,24.5406,434.53,147.0478,
2000,广东省,24089.743,3.1257,2.493,11207.3596,419.7618,882.0073,271.8598,2375.1598,2986.4525,30.9581
2000,广西壮族自治区,5565.758,1.1717,2.715,4240.0338,454.2432,192.9135,11.511,457.0345,24.3177,
2000,海南省,882.284,1.1182,1.702,364.6144,9.9377,90.5847,85.4364,143.2108,29.771,114.3067
2000,重庆市,7252.083,2.3454,4.563,5597.8385,517.6213,192.2984,25.3302,190.4517,8.4969,720.0457
