,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,海南省,460000,三沙市,460300,25.528775205664832
1,2002,海南省,460000,三沙市,460300,25.77733449222288
2,2003,海南省,460000,三沙市,460300,26.04347141573135
3,2004,海南省,460000,三沙市,460300,25.793838661150915
4,2005,海南省,460000,三沙市,460300,26.02026927029692
5,2006,海南省,460000,三沙市,460300,26.135951167442485
6,2007,海南省,460000,三沙市,460300,26.035440268808813
7,2008,海南省,460000,三沙市,460300,25.45777724515493
8,2009,海南省,460000,三沙市,460300,25.456139319235003
9,2010,海南省,460000,三沙市,460300,26.14700635253723
10,2011,海南省,460000,三沙市,460300,25.34931079028242
11,2012,海南省,460000,三沙市,460300,26.171540774281777
12,2013,海南省,460000,三沙市,460300,25.96654983731842
13,2014,海南省,460000,三沙市,460300,26.185688925571924
14,2015,海南省,460000,三沙市,460300,26.62395345866841
15,2016,海南省,460000,三沙市,460300,26.43020602792122
16,2017,海南省,460000,三沙市,460300,26.27532489523741
17,2018,海南省,460000,三沙市,460300,26.14454767715252
18,2019,海南省,460000,三沙市,460300,26.806659146673468
19,2020,海南省,460000,三沙市,460300,26.526183250377912
20,2021,海南省,460000,三沙市,460300,26.430971689619906
21,2022,海南省,460000,三沙市,460300,25.784281484183595
