,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江西省,360000,上饶市,361100,17.369697417559127
1,2002,江西省,360000,上饶市,361100,17.698336398239157
2,2003,江西省,360000,上饶市,361100,17.929351848915648
3,2004,江西省,360000,上饶市,361100,17.653499347782784
4,2005,江西省,360000,上饶市,361100,17.448353178178248
5,2006,江西省,360000,上饶市,361100,17.74866732848589
6,2007,江西省,360000,上饶市,361100,18.10453642992816
7,2008,江西省,360000,上饶市,361100,17.522735352746604
8,2009,江西省,360000,上饶市,361100,17.827968077878722
9,2010,江西省,360000,上饶市,361100,17.38864829034951
10,2011,江西省,360000,上饶市,361100,17.256053450779103
11,2012,江西省,360000,上饶市,361100,17.056839062963338
12,2013,江西省,360000,上饶市,361100,17.962444213488762
13,2014,江西省,360000,上饶市,361100,17.68570031427463
14,2015,江西省,360000,上饶市,361100,17.714618780999448
15,2016,江西省,360000,上饶市,361100,18.143234914324815
16,2017,江西省,360000,上饶市,361100,18.15234260159832
17,2018,江西省,360000,上饶市,361100,18.08668858393893
18,2019,江西省,360000,上饶市,361100,18.18624615542579
19,2020,江西省,360000,上饶市,361100,18.236894172905806
20,2021,江西省,360000,上饶市,361100,18.584676431109752
21,2022,江西省,360000,上饶市,361100,15.141905578286748
