,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,内蒙古自治区,150000,乌兰察布市,150900,6.398568382642313
1,2002,内蒙古自治区,150000,乌兰察布市,150900,6.366024781690721
2,2003,内蒙古自治区,150000,乌兰察布市,150900,5.482495798269618
3,2004,内蒙古自治区,150000,乌兰察布市,150900,6.3124594029302505
4,2005,内蒙古自治区,150000,乌兰察布市,150900,5.649583011669179
5,2006,内蒙古自治区,150000,乌兰察布市,150900,6.478435987873685
6,2007,内蒙古自治区,150000,乌兰察布市,150900,7.002770594802534
7,2008,内蒙古自治区,150000,乌兰察布市,150900,5.802254872264258
8,2009,内蒙古自治区,150000,乌兰察布市,150900,6.279649877241017
9,2010,内蒙古自治区,150000,乌兰察布市,150900,5.608247885752412
10,2011,内蒙古自治区,150000,乌兰察布市,150900,5.600177382043675
11,2012,内蒙古自治区,150000,乌兰察布市,150900,4.924070636831746
12,2013,内蒙古自治区,150000,乌兰察布市,150900,6.2327184611615705
13,2014,内蒙古自治区,150000,乌兰察布市,150900,6.839364904312842
14,2015,内蒙古自治区,150000,乌兰察布市,150900,6.439515880359852
15,2016,内蒙古自治区,150000,乌兰察布市,150900,6.220265232040627
16,2017,内蒙古自治区,150000,乌兰察布市,150900,6.988157969321229
17,2018,内蒙古自治区,150000,乌兰察布市,150900,6.432513764072706
18,2019,内蒙古自治区,150000,乌兰察布市,150900,6.457972659305266
19,2020,内蒙古自治区,150000,乌兰察布市,150900,5.969056464779556
20,2021,内蒙古自治区,150000,乌兰察布市,150900,6.719522759865075
21,2022,内蒙古自治区,150000,乌兰察布市,150900,4.211060278635316
