,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,乐山市,511100,10.336088838191714
1,2002,四川省,510000,乐山市,511100,10.364649580641078
2,2003,四川省,510000,乐山市,511100,10.181149807417691
3,2004,四川省,510000,乐山市,511100,9.78223687719282
4,2005,四川省,510000,乐山市,511100,10.171963976245918
5,2006,四川省,510000,乐山市,511100,10.935904848089775
6,2007,四川省,510000,乐山市,511100,10.609246591690434
7,2008,四川省,510000,乐山市,511100,10.032706263793102
8,2009,四川省,510000,乐山市,511100,10.623819400597526
9,2010,四川省,510000,乐山市,511100,10.673720900390483
10,2011,四川省,510000,乐山市,511100,9.99188795629924
11,2012,四川省,510000,乐山市,511100,9.776741549282312
12,2013,四川省,510000,乐山市,511100,10.978314084248057
13,2014,四川省,510000,乐山市,511100,10.254267885366136
14,2015,四川省,510000,乐山市,511100,11.097363871364443
15,2016,四川省,510000,乐山市,511100,11.088960556988908
16,2017,四川省,510000,乐山市,511100,10.8694320103102
17,2018,四川省,510000,乐山市,511100,10.55700023792855
18,2019,四川省,510000,乐山市,511100,10.911924654329718
19,2020,四川省,510000,乐山市,511100,10.761161203166884
20,2021,四川省,510000,乐山市,511100,11.027869345543415
21,2022,四川省,510000,乐山市,511100,9.043835295778086
