,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,黑龙江省,230000,佳木斯市,230800,3.526966628918592
1,2002,黑龙江省,230000,佳木斯市,230800,3.7621202360987143
2,2003,黑龙江省,230000,佳木斯市,230800,4.2531760287781
3,2004,黑龙江省,230000,佳木斯市,230800,4.088779315389035
4,2005,黑龙江省,230000,佳木斯市,230800,3.4409208210142865
5,2006,黑龙江省,230000,佳木斯市,230800,3.4502309740696924
6,2007,黑龙江省,230000,佳木斯市,230800,4.776043318949768
7,2008,黑龙江省,230000,佳木斯市,230800,4.69843038697264
8,2009,黑龙江省,230000,佳木斯市,230800,2.99784372484879
9,2010,黑龙江省,230000,佳木斯市,230800,3.216052244412334
10,2011,黑龙江省,230000,佳木斯市,230800,3.655372900034565
11,2012,黑龙江省,230000,佳木斯市,230800,3.258963628688585
12,2013,黑龙江省,230000,佳木斯市,230800,3.527073748931368
13,2014,黑龙江省,230000,佳木斯市,230800,3.958675333089405
14,2015,黑龙江省,230000,佳木斯市,230800,4.581060560208015
15,2016,黑龙江省,230000,佳木斯市,230800,3.436506426749217
16,2017,黑龙江省,230000,佳木斯市,230800,4.119766208819265
17,2018,黑龙江省,230000,佳木斯市,230800,4.100417897038459
18,2019,黑龙江省,230000,佳木斯市,230800,4.781454608288603
19,2020,黑龙江省,230000,佳木斯市,230800,4.686844172855999
20,2021,黑龙江省,230000,佳木斯市,230800,4.609392229360431
21,2022,黑龙江省,230000,佳木斯市,230800,0.9895962113275264
