,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,甘肃省,620000,兰州市,620100,7.905614632587301
1,2002,甘肃省,620000,兰州市,620100,8.071788044388509
2,2003,甘肃省,620000,兰州市,620100,7.826582533685811
3,2004,甘肃省,620000,兰州市,620100,5.596408373694199
4,2005,甘肃省,620000,兰州市,620100,6.206363904960377
5,2006,甘肃省,620000,兰州市,620100,6.999669801770217
6,2007,甘肃省,620000,兰州市,620100,6.561206065057784
7,2008,甘肃省,620000,兰州市,620100,5.983538497955777
8,2009,甘肃省,620000,兰州市,620100,6.773007503870381
9,2010,甘肃省,620000,兰州市,620100,6.523861553264993
10,2011,甘肃省,620000,兰州市,620100,6.097090244749484
11,2012,甘肃省,620000,兰州市,620100,5.781147512790163
12,2013,甘肃省,620000,兰州市,620100,6.949310741781425
13,2014,甘肃省,620000,兰州市,620100,6.403458110860815
14,2015,甘肃省,620000,兰州市,620100,6.973440136806464
15,2016,甘肃省,620000,兰州市,620100,7.014600084646332
16,2017,甘肃省,620000,兰州市,620100,6.680186015958035
17,2018,甘肃省,620000,兰州市,620100,6.544965298714395
18,2019,甘肃省,620000,兰州市,620100,6.497208414880756
19,2020,甘肃省,620000,兰州市,620100,6.566180521869172
20,2021,甘肃省,620000,兰州市,620100,7.078951405160133
21,2022,甘肃省,620000,兰州市,620100,5.9390269639402575
