,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,凉山彝族自治州,513400,13.319606668733853
1,2002,四川省,510000,凉山彝族自治州,513400,13.33489927623008
2,2003,四川省,510000,凉山彝族自治州,513400,13.69914186369467
3,2004,四川省,510000,凉山彝族自治州,513400,13.000321139468992
4,2005,四川省,510000,凉山彝族自治州,513400,13.821112911055655
5,2006,四川省,510000,凉山彝族自治州,513400,14.02212403982432
6,2007,四川省,510000,凉山彝族自治州,513400,13.493823734434956
7,2008,四川省,510000,凉山彝族自治州,513400,13.321012268398947
8,2009,四川省,510000,凉山彝族自治州,513400,14.047843947071753
9,2010,四川省,510000,凉山彝族自治州,513400,13.977285223742175
10,2011,四川省,510000,凉山彝族自治州,513400,13.394609828378428
11,2012,四川省,510000,凉山彝族自治州,513400,13.831643403244913
12,2013,四川省,510000,凉山彝族自治州,513400,13.874772827616516
13,2014,四川省,510000,凉山彝族自治州,513400,13.951193543495233
14,2015,四川省,510000,凉山彝族自治州,513400,14.049984711689698
15,2016,四川省,510000,凉山彝族自治州,513400,13.905764487332704
16,2017,四川省,510000,凉山彝族自治州,513400,13.84390964732296
17,2018,四川省,510000,凉山彝族自治州,513400,13.709392012407136
18,2019,四川省,510000,凉山彝族自治州,513400,14.600874951513855
19,2020,四川省,510000,凉山彝族自治州,513400,14.3438449678083
20,2021,四川省,510000,凉山彝族自治州,513400,14.681419738317068
21,2022,四川省,510000,凉山彝族自治州,513400,12.433781659180376
