,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江西省,360000,南昌市,360100,17.740042047585302
1,2002,江西省,360000,南昌市,360100,17.987528268597178
2,2003,江西省,360000,南昌市,360100,18.13565243376212
3,2004,江西省,360000,南昌市,360100,18.20892710767887
4,2005,江西省,360000,南昌市,360100,17.729059076356545
5,2006,江西省,360000,南昌市,360100,18.105527547865112
6,2007,江西省,360000,南昌市,360100,18.596918321087685
7,2008,江西省,360000,南昌市,360100,17.962140095180832
8,2009,江西省,360000,南昌市,360100,18.24738075248999
9,2010,江西省,360000,南昌市,360100,17.92702948020356
10,2011,江西省,360000,南昌市,360100,17.781894591089962
11,2012,江西省,360000,南昌市,360100,17.423845291110148
12,2013,江西省,360000,南昌市,360100,18.45829549708129
13,2014,江西省,360000,南昌市,360100,18.233775753658826
14,2015,江西省,360000,南昌市,360100,18.10847186966456
15,2016,江西省,360000,南昌市,360100,18.481933224014234
16,2017,江西省,360000,南昌市,360100,18.5623197287649
17,2018,江西省,360000,南昌市,360100,18.499554568622944
18,2019,江西省,360000,南昌市,360100,18.506906211174584
19,2020,江西省,360000,南昌市,360100,18.553280473269368
20,2021,江西省,360000,南昌市,360100,19.091974786744697
21,2022,江西省,360000,南昌市,360100,15.552155866904664
