,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江苏省,320000,南通市,320600,16.208483825362084
1,2002,江苏省,320000,南通市,320600,16.472588628970197
2,2003,江苏省,320000,南通市,320600,15.886575692916454
3,2004,江苏省,320000,南通市,320600,16.54524543325108
4,2005,江苏省,320000,南通市,320600,16.005511165204464
5,2006,江苏省,320000,南通市,320600,16.661570248964576
6,2007,江苏省,320000,南通市,320600,16.895781026511035
7,2008,江苏省,320000,南通市,320600,16.032373638976946
8,2009,江苏省,320000,南通市,320600,16.340754979011916
9,2010,江苏省,320000,南通市,320600,16.090130000902395
10,2011,江苏省,320000,南通市,320600,15.802789417215296
11,2012,江苏省,320000,南通市,320600,15.852395416820013
12,2013,江苏省,320000,南通市,320600,16.543525162092227
13,2014,江苏省,320000,南通市,320600,16.1818075888025
14,2015,江苏省,320000,南通市,320600,16.2179175770748
15,2016,江苏省,320000,南通市,320600,16.81064641503898
16,2017,江苏省,320000,南通市,320600,17.019866639990944
17,2018,江苏省,320000,南通市,320600,16.945868640653377
18,2019,江苏省,320000,南通市,320600,16.71682111212147
19,2020,江苏省,320000,南通市,320600,16.93536240237399
20,2021,江苏省,320000,南通市,320600,17.226669243979735
21,2022,江苏省,320000,南通市,320600,14.07231710686954
