,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,内蒙古自治区,150000,呼伦贝尔市,150700,-0.2551280759288851
1,2002,内蒙古自治区,150000,呼伦贝尔市,150700,0.436171522781055
2,2003,内蒙古自治区,150000,呼伦贝尔市,150700,0.1450576828418543
3,2004,内蒙古自治区,150000,呼伦贝尔市,150700,0.3497088302010859
4,2005,内蒙古自治区,150000,呼伦贝尔市,150700,-0.1867400069719404
5,2006,内蒙古自治区,150000,呼伦贝尔市,150700,-0.5693692588510318
6,2007,内蒙古自治区,150000,呼伦贝尔市,150700,1.2783556144772312
7,2008,内蒙古自治区,150000,呼伦贝尔市,150700,0.8187074620157947
8,2009,内蒙古自治区,150000,呼伦贝尔市,150700,-0.6513544902548415
9,2010,内蒙古自治区,150000,呼伦贝尔市,150700,-0.8632994675368239
10,2011,内蒙古自治区,150000,呼伦贝尔市,150700,-0.325449625638802
11,2012,内蒙古自治区,150000,呼伦贝尔市,150700,-1.210160823266183
12,2013,内蒙古自治区,150000,呼伦贝尔市,150700,-0.6477040595623137
13,2014,内蒙古自治区,150000,呼伦贝尔市,150700,0.2301963968926127
14,2015,内蒙古自治区,150000,呼伦贝尔市,150700,0.8743641871038724
15,2016,内蒙古自治区,150000,呼伦贝尔市,150700,-0.3519365643334013
16,2017,内蒙古自治区,150000,呼伦贝尔市,150700,0.3945182187879572
17,2018,内蒙古自治区,150000,呼伦贝尔市,150700,0.467519846520414
18,2019,内蒙古自治区,150000,呼伦贝尔市,150700,0.7922635971071976
19,2020,内蒙古自治区,150000,呼伦贝尔市,150700,0.871240814486467
20,2021,内蒙古自治区,150000,呼伦贝尔市,150700,0.6489389701214044
21,2022,内蒙古自治区,150000,呼伦贝尔市,150700,-2.531966633686185
