,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,黑龙江省,230000,哈尔滨市,230100,3.698615193723114
1,2002,黑龙江省,230000,哈尔滨市,230100,4.244283090857265
2,2003,黑龙江省,230000,哈尔滨市,230100,4.759038641385557
3,2004,黑龙江省,230000,哈尔滨市,230100,4.590543227440505
4,2005,黑龙江省,230000,哈尔滨市,230100,3.690859813190833
5,2006,黑龙江省,230000,哈尔滨市,230100,4.035980755612127
6,2007,黑龙江省,230000,哈尔滨市,230100,5.384187293465168
7,2008,黑龙江省,230000,哈尔滨市,230100,5.058493648589881
8,2009,黑龙江省,230000,哈尔滨市,230100,3.478906852096193
9,2010,黑龙江省,230000,哈尔滨市,230100,3.200864770552506
10,2011,黑龙江省,230000,哈尔滨市,230100,3.910293161757442
11,2012,黑龙江省,230000,哈尔滨市,230100,3.5044104307251587
12,2013,黑龙江省,230000,哈尔滨市,230100,3.490972766560079
13,2014,黑龙江省,230000,哈尔滨市,230100,4.203688736072247
14,2015,黑龙江省,230000,哈尔滨市,230100,4.751941255215665
15,2016,黑龙江省,230000,哈尔滨市,230100,4.055429559295872
16,2017,黑龙江省,230000,哈尔滨市,230100,4.4421493426776175
17,2018,黑龙江省,230000,哈尔滨市,230100,4.413418561705117
18,2019,黑龙江省,230000,哈尔滨市,230100,5.2698866570843625
19,2020,黑龙江省,230000,哈尔滨市,230100,4.803997255098872
20,2021,黑龙江省,230000,哈尔滨市,230100,4.938832074667364
21,2022,黑龙江省,230000,哈尔滨市,230100,1.3840936800827193
