,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,河南省,410000,商丘市,411400,14.919451636669834
1,2002,河南省,410000,商丘市,411400,15.485070215589678
2,2003,河南省,410000,商丘市,411400,14.306767577781027
3,2004,河南省,410000,商丘市,411400,15.39591181897716
4,2005,河南省,410000,商丘市,411400,14.75373694315303
5,2006,河南省,410000,商丘市,411400,15.584681377537516
6,2007,河南省,410000,商丘市,411400,15.562877516140796
7,2008,河南省,410000,商丘市,411400,14.908129440093829
8,2009,河南省,410000,商丘市,411400,15.03330192978252
9,2010,河南省,410000,商丘市,411400,15.037619417524034
10,2011,河南省,410000,商丘市,411400,14.49985999989832
11,2012,河南省,410000,商丘市,411400,14.795874297346352
12,2013,河南省,410000,商丘市,411400,15.394411368653282
13,2014,河南省,410000,商丘市,411400,15.502202363227552
14,2015,河南省,410000,商丘市,411400,14.994535730998
15,2016,河南省,410000,商丘市,411400,15.607665324848355
16,2017,河南省,410000,商丘市,411400,15.85617786950198
17,2018,河南省,410000,商丘市,411400,15.82041315086331
18,2019,河南省,410000,商丘市,411400,16.080078919882162
19,2020,河南省,410000,商丘市,411400,15.982015274415488
20,2021,河南省,410000,商丘市,411400,16.20487906451081
21,2022,河南省,410000,商丘市,411400,14.344969246369416
