,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,山东省,370000,威海市,371000,12.455971398422909
1,2002,山东省,370000,威海市,371000,12.628889516443692
2,2003,山东省,370000,威海市,371000,11.966001493203397
3,2004,山东省,370000,威海市,371000,12.719750576562856
4,2005,山东省,370000,威海市,371000,11.802644671808425
5,2006,山东省,370000,威海市,371000,12.548159107706928
6,2007,山东省,370000,威海市,371000,13.026829825751271
7,2008,山东省,370000,威海市,371000,12.104179954843326
8,2009,山东省,370000,威海市,371000,12.361632536502496
9,2010,山东省,370000,威海市,371000,11.636260387451877
10,2011,山东省,370000,威海市,371000,11.57378565111361
11,2012,山东省,370000,威海市,371000,11.721340857607457
12,2013,山东省,370000,威海市,371000,12.037370055810303
13,2014,山东省,370000,威海市,371000,12.957862598854875
14,2015,山东省,370000,威海市,371000,12.936509236009774
15,2016,山东省,370000,威海市,371000,12.954350741115729
16,2017,山东省,370000,威海市,371000,13.18214419663566
17,2018,山东省,370000,威海市,371000,12.43205304145626
18,2019,山东省,370000,威海市,371000,13.275558732430897
19,2020,山东省,370000,威海市,371000,12.97272539952568
20,2021,山东省,370000,威海市,371000,13.162625839161349
21,2022,山东省,370000,威海市,371000,9.402173412068246
