,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,浙江省,330000,宁波市,330200,17.407676485087908
1,2002,浙江省,330000,宁波市,330200,17.674255867655596
2,2003,浙江省,330000,宁波市,330200,17.438384781718327
3,2004,浙江省,330000,宁波市,330200,17.699315330055196
4,2005,浙江省,330000,宁波市,330200,17.04695294563479
5,2006,浙江省,330000,宁波市,330200,17.91296937291658
6,2007,浙江省,330000,宁波市,330200,18.080996350673452
7,2008,浙江省,330000,宁波市,330200,17.239602403672183
8,2009,浙江省,330000,宁波市,330200,17.419860130877424
9,2010,浙江省,330000,宁波市,330200,17.019899883431922
10,2011,浙江省,330000,宁波市,330200,16.77290866759108
11,2012,浙江省,330000,宁波市,330200,16.824682917787293
12,2013,浙江省,330000,宁波市,330200,17.596460022538285
13,2014,浙江省,330000,宁波市,330200,17.25289343685996
14,2015,浙江省,330000,宁波市,330200,17.33177712089003
15,2016,浙江省,330000,宁波市,330200,18.058927836561057
16,2017,浙江省,330000,宁波市,330200,18.0022465462068
17,2018,浙江省,330000,宁波市,330200,17.958560081638556
18,2019,浙江省,330000,宁波市,330200,17.699347056863697
19,2020,浙江省,330000,宁波市,330200,18.251722301357344
20,2021,浙江省,330000,宁波市,330200,18.42908082752483
21,2022,浙江省,330000,宁波市,330200,14.86515183942332
