,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,海南省,460000,定安县,469021,25.051862821449248
1,2002,海南省,460000,定安县,469021,25.23461425017316
2,2003,海南省,460000,定安县,469021,25.26996321912844
3,2004,海南省,460000,定安县,469021,24.70149366496945
4,2005,海南省,460000,定安县,469021,24.93699239192591
5,2006,海南省,460000,定安县,469021,25.404994400868617
6,2007,海南省,460000,定安县,469021,24.944186421196846
7,2008,海南省,460000,定安县,469021,24.187754999333237
8,2009,海南省,460000,定安县,469021,24.72137067914913
9,2010,海南省,460000,定安县,469021,25.149641433765485
10,2011,海南省,460000,定安县,469021,23.76369097589959
11,2012,海南省,460000,定安县,469021,24.69601974763701
12,2013,海南省,460000,定安县,469021,24.4267946344744
13,2014,海南省,460000,定安县,469021,24.70168274119329
14,2015,海南省,460000,定安县,469021,25.42870540553241
15,2016,海南省,460000,定安县,469021,24.8769268644225
16,2017,海南省,460000,定安县,469021,25.03325594940476
17,2018,海南省,460000,定安县,469021,24.60214442154709
18,2019,海南省,460000,定安县,469021,25.695040561031984
19,2020,海南省,460000,定安县,469021,25.30673196443877
20,2021,海南省,460000,定安县,469021,25.09153129083668
21,2022,海南省,460000,定安县,469021,23.76922593010116
