,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,甘肃省,620000,定西市,621100,7.552811590831474
1,2002,甘肃省,620000,定西市,621100,7.926736923675057
2,2003,甘肃省,620000,定西市,621100,7.442442867011472
3,2004,甘肃省,620000,定西市,621100,6.524731501225411
4,2005,甘肃省,620000,定西市,621100,6.468128055374419
5,2006,甘肃省,620000,定西市,621100,7.538542877976947
6,2007,甘肃省,620000,定西市,621100,6.971062519504592
7,2008,甘肃省,620000,定西市,621100,6.428253582915315
8,2009,甘肃省,620000,定西市,621100,7.051495893070751
9,2010,甘肃省,620000,定西市,621100,6.936736610931032
10,2011,甘肃省,620000,定西市,621100,6.391655087071428
11,2012,甘肃省,620000,定西市,621100,6.177054909802781
12,2013,甘肃省,620000,定西市,621100,7.419782655481801
13,2014,甘肃省,620000,定西市,621100,6.884686831311466
14,2015,甘肃省,620000,定西市,621100,7.352571248745789
15,2016,甘肃省,620000,定西市,621100,7.572539581121397
16,2017,甘肃省,620000,定西市,621100,7.193133255328135
17,2018,甘肃省,620000,定西市,621100,6.951653661148228
18,2019,甘肃省,620000,定西市,621100,6.9613087851957465
19,2020,甘肃省,620000,定西市,621100,6.645219805366966
20,2021,甘肃省,620000,定西市,621100,7.202063445084799
21,2022,甘肃省,620000,定西市,621100,6.076456863254304
