,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,宜昌市,420500,17.177925782211563
1,2002,湖北省,420000,宜昌市,420500,17.153564789985026
2,2003,湖北省,420000,宜昌市,420500,16.64899801015575
3,2004,湖北省,420000,宜昌市,420500,17.37690265089126
4,2005,湖北省,420000,宜昌市,420500,16.962193281156207
5,2006,湖北省,420000,宜昌市,420500,17.710421088435577
6,2007,湖北省,420000,宜昌市,420500,17.476958382919314
7,2008,湖北省,420000,宜昌市,420500,16.970215116899656
8,2009,湖北省,420000,宜昌市,420500,17.163289903761726
9,2010,湖北省,420000,宜昌市,420500,17.01976851598896
10,2011,湖北省,420000,宜昌市,420500,16.85592614797099
11,2012,湖北省,420000,宜昌市,420500,16.575838692494685
12,2013,湖北省,420000,宜昌市,420500,17.680629077326678
13,2014,湖北省,420000,宜昌市,420500,16.63944620728707
14,2015,湖北省,420000,宜昌市,420500,16.832086769910607
15,2016,湖北省,420000,宜昌市,420500,17.151502860047838
16,2017,湖北省,420000,宜昌市,420500,17.035100275203316
17,2018,湖北省,420000,宜昌市,420500,17.06822886070801
18,2019,湖北省,420000,宜昌市,420500,17.11831965308834
19,2020,湖北省,420000,宜昌市,420500,16.79470127577064
20,2021,湖北省,420000,宜昌市,420500,17.43723739279783
21,2022,湖北省,420000,宜昌市,420500,14.977941024357486
