,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,陕西省,610000,宝鸡市,610300,13.319513532330136
1,2002,陕西省,610000,宝鸡市,610300,13.86693556373452
2,2003,陕西省,610000,宝鸡市,610300,12.928282367432397
3,2004,陕西省,610000,宝鸡市,610300,13.56239372327788
4,2005,陕西省,610000,宝鸡市,610300,12.185751667337827
5,2006,陕西省,610000,宝鸡市,610300,13.09584831573771
6,2007,陕西省,610000,宝鸡市,610300,12.81931547005174
7,2008,陕西省,610000,宝鸡市,610300,12.258061638916738
8,2009,陕西省,610000,宝鸡市,610300,12.635412380363476
9,2010,陕西省,610000,宝鸡市,610300,12.649233955291033
10,2011,陕西省,610000,宝鸡市,610300,12.11474438295948
11,2012,陕西省,610000,宝鸡市,610300,12.114430089482498
12,2013,陕西省,610000,宝鸡市,610300,13.568391087252456
13,2014,陕西省,610000,宝鸡市,610300,12.843658825376336
14,2015,陕西省,610000,宝鸡市,610300,13.00791460228517
15,2016,陕西省,610000,宝鸡市,610300,13.553427154186762
16,2017,陕西省,610000,宝鸡市,610300,13.18911820182801
17,2018,陕西省,610000,宝鸡市,610300,12.903226924720338
18,2019,陕西省,610000,宝鸡市,610300,12.857852671281734
19,2020,陕西省,610000,宝鸡市,610300,12.90705830793864
20,2021,陕西省,610000,宝鸡市,610300,13.363234842635292
21,2022,陕西省,610000,宝鸡市,610300,11.94887433010893
