,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,甘肃省,620000,庆阳市,621000,10.415911099748472
1,2002,甘肃省,620000,庆阳市,621000,10.789257590770882
2,2003,甘肃省,620000,庆阳市,621000,9.895989198073812
3,2004,甘肃省,620000,庆阳市,621000,10.41832803987382
4,2005,甘肃省,620000,庆阳市,621000,10.094442552515916
5,2006,甘肃省,620000,庆阳市,621000,11.012592617447083
6,2007,甘肃省,620000,庆阳市,621000,10.846601439725204
7,2008,甘肃省,620000,庆阳市,621000,10.11615588682307
8,2009,甘肃省,620000,庆阳市,621000,10.725373729955828
9,2010,甘肃省,620000,庆阳市,621000,10.604456729790543
10,2011,甘肃省,620000,庆阳市,621000,10.018622571634753
11,2012,甘肃省,620000,庆阳市,621000,9.922003191083174
12,2013,甘肃省,620000,庆阳市,621000,11.383847913492865
13,2014,甘肃省,620000,庆阳市,621000,10.722167484407748
14,2015,甘肃省,620000,庆阳市,621000,10.891364023796283
15,2016,甘肃省,620000,庆阳市,621000,11.216617136424544
16,2017,甘肃省,620000,庆阳市,621000,10.953463026628317
17,2018,甘肃省,620000,庆阳市,621000,10.587442038496343
18,2019,甘肃省,620000,庆阳市,621000,10.693626253653614
19,2020,甘肃省,620000,庆阳市,621000,10.594375724107804
20,2021,甘肃省,620000,庆阳市,621000,11.245360288511094
21,2022,甘肃省,620000,庆阳市,621000,9.878329490077972
