,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,山东省,370000,德州市,371400,13.424818788850992
1,2002,山东省,370000,德州市,371400,13.896280513479946
2,2003,山东省,370000,德州市,371400,13.0020803991435
3,2004,山东省,370000,德州市,371400,13.545242378196605
4,2005,山东省,370000,德州市,371400,13.12918807467458
5,2006,山东省,370000,德州市,371400,13.827788352648811
6,2007,山东省,370000,德州市,371400,13.952527137147948
7,2008,山东省,370000,德州市,371400,13.588926767941368
8,2009,山东省,370000,德州市,371400,13.530785333273784
9,2010,山东省,370000,德州市,371400,13.05708576268468
10,2011,山东省,370000,德州市,371400,13.042079088808125
11,2012,山东省,370000,德州市,371400,13.085075370679634
12,2013,山东省,370000,德州市,371400,13.374645216141488
13,2014,山东省,370000,德州市,371400,14.342490845899045
14,2015,山东省,370000,德州市,371400,13.72747292919649
15,2016,山东省,370000,德州市,371400,14.022203894268884
16,2017,山东省,370000,德州市,371400,14.23676589136178
17,2018,山东省,370000,德州市,371400,13.991878762307088
18,2019,山东省,370000,德州市,371400,14.251922811688171
19,2020,山东省,370000,德州市,371400,13.91189559863649
20,2021,山东省,370000,德州市,371400,14.196272302375066
21,2022,山东省,370000,德州市,371400,12.202954341633054
