,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,德阳市,510600,16.32663888357818
1,2002,四川省,510000,德阳市,510600,16.243373482972885
2,2003,四川省,510000,德阳市,510600,15.86579199990682
3,2004,四川省,510000,德阳市,510600,15.765620181784806
4,2005,四川省,510000,德阳市,510600,15.820922172866306
5,2006,四川省,510000,德阳市,510600,16.765631414406517
6,2007,四川省,510000,德阳市,510600,16.693069151191537
7,2008,四川省,510000,德阳市,510600,15.963916133890487
8,2009,四川省,510000,德阳市,510600,16.33211541311974
9,2010,四川省,510000,德阳市,510600,15.969128636183614
10,2011,四川省,510000,德阳市,510600,15.800629405766486
11,2012,四川省,510000,德阳市,510600,15.683536880059895
12,2013,四川省,510000,德阳市,510600,16.8727612926184
13,2014,四川省,510000,德阳市,510600,16.19656990540182
14,2015,四川省,510000,德阳市,510600,17.024657508976144
15,2016,四川省,510000,德阳市,510600,16.909660417065428
16,2017,四川省,510000,德阳市,510600,16.708874191418086
17,2018,四川省,510000,德阳市,510600,16.530803941695055
18,2019,四川省,510000,德阳市,510600,16.48265410646251
19,2020,四川省,510000,德阳市,510600,16.699841776782716
20,2021,四川省,510000,德阳市,510600,16.730771234513778
21,2022,四川省,510000,德阳市,510600,15.316490772094154
