,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江西省,360000,新余市,360500,17.946307154098463
1,2002,江西省,360000,新余市,360500,18.20254920814621
2,2003,江西省,360000,新余市,360500,18.26630006962289
3,2004,江西省,360000,新余市,360500,18.381715183892684
4,2005,江西省,360000,新余市,360500,17.95887918988323
5,2006,江西省,360000,新余市,360500,18.341044285280564
6,2007,江西省,360000,新余市,360500,18.44815425973346
7,2008,江西省,360000,新余市,360500,18.21739022635164
8,2009,江西省,360000,新余市,360500,18.47755085799272
9,2010,江西省,360000,新余市,360500,18.179960820529114
10,2011,江西省,360000,新余市,360500,17.93265707554291
11,2012,江西省,360000,新余市,360500,17.654171797091468
12,2013,江西省,360000,新余市,360500,18.80215797303341
13,2014,江西省,360000,新余市,360500,18.424947012659047
14,2015,江西省,360000,新余市,360500,18.3167688976398
15,2016,江西省,360000,新余市,360500,18.630898290682463
16,2017,江西省,360000,新余市,360500,18.67129290023099
17,2018,江西省,360000,新余市,360500,18.63099326094912
18,2019,江西省,360000,新余市,360500,18.671782234739425
19,2020,江西省,360000,新余市,360500,18.868038234469424
20,2021,江西省,360000,新余市,360500,19.378058867634238
21,2022,江西省,360000,新余市,360500,15.878421521157748
