,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,云南省,530000,昭通市,530600,13.87961193724366
1,2002,云南省,530000,昭通市,530600,13.964324127285254
2,2003,云南省,530000,昭通市,530600,14.122068087530552
3,2004,云南省,530000,昭通市,530600,13.57733817870124
4,2005,云南省,530000,昭通市,530600,13.938842106955322
5,2006,云南省,530000,昭通市,530600,14.41582227824095
6,2007,云南省,530000,昭通市,530600,14.125625116966036
7,2008,云南省,530000,昭通市,530600,13.634933839426424
8,2009,云南省,530000,昭通市,530600,14.426705515868656
9,2010,云南省,530000,昭通市,530600,14.268878508621214
10,2011,云南省,530000,昭通市,530600,13.594763189622531
11,2012,云南省,530000,昭通市,530600,13.662196944707732
12,2013,云南省,530000,昭通市,530600,14.611048875712688
13,2014,云南省,530000,昭通市,530600,13.93482137971248
14,2015,云南省,530000,昭通市,530600,14.61486689293448
15,2016,云南省,530000,昭通市,530600,14.3641928726121
16,2017,云南省,530000,昭通市,530600,14.36372617650146
17,2018,云南省,530000,昭通市,530600,14.106707463794864
18,2019,云南省,530000,昭通市,530600,14.72668140601872
19,2020,云南省,530000,昭通市,530600,14.350487527294192
20,2021,云南省,530000,昭通市,530600,14.57680533148583
21,2022,云南省,530000,昭通市,530600,12.53418239244487
