,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,辽宁省,210000,本溪市,210500,7.686919354806946
1,2002,辽宁省,210000,本溪市,210500,8.412910875803009
2,2003,辽宁省,210000,本溪市,210500,8.44518860111032
3,2004,辽宁省,210000,本溪市,210500,8.709423995770665
4,2005,辽宁省,210000,本溪市,210500,7.347983665800657
5,2006,辽宁省,210000,本溪市,210500,8.306763832470205
6,2007,辽宁省,210000,本溪市,210500,8.868915790217963
7,2008,辽宁省,210000,本溪市,210500,8.606297591840184
8,2009,辽宁省,210000,本溪市,210500,7.9327471650845744
9,2010,辽宁省,210000,本溪市,210500,7.2449135602636945
10,2011,辽宁省,210000,本溪市,210500,7.690123983456446
11,2012,辽宁省,210000,本溪市,210500,7.225039120447914
12,2013,辽宁省,210000,本溪市,210500,7.6370653704595135
13,2014,辽宁省,210000,本溪市,210500,8.79034898441369
14,2015,辽宁省,210000,本溪市,210500,8.611514661309647
15,2016,辽宁省,210000,本溪市,210500,8.409821215326863
16,2017,辽宁省,210000,本溪市,210500,8.528405674057005
17,2018,辽宁省,210000,本溪市,210500,8.237879121293929
18,2019,辽宁省,210000,本溪市,210500,9.02251565913817
19,2020,辽宁省,210000,本溪市,210500,8.830394310966943
20,2021,辽宁省,210000,本溪市,210500,8.88193664646912
21,2022,辽宁省,210000,本溪市,210500,5.642389788756159
