,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,青海省,630000,果洛藏族自治州,632600,0.8868602136230431
1,2002,青海省,630000,果洛藏族自治州,632600,1.2400788548181765
2,2003,青海省,630000,果洛藏族自治州,632600,1.703464900335426
3,2004,青海省,630000,果洛藏族自治州,632600,0.9449612422009545
4,2005,青海省,630000,果洛藏族自治州,632600,1.2797448353219911
5,2006,青海省,630000,果洛藏族自治州,632600,1.770174530461243
6,2007,青海省,630000,果洛藏族自治州,632600,1.4981197928125514
7,2008,青海省,630000,果洛藏族自治州,632600,0.9478857993940932
8,2009,青海省,630000,果洛藏族自治州,632600,1.8045240557923392
9,2010,青海省,630000,果洛藏族自治州,632600,1.7242117030166877
10,2011,青海省,630000,果洛藏族自治州,632600,1.3102718255395611
11,2012,青海省,630000,果洛藏族自治州,632600,1.216008399892792
12,2013,青海省,630000,果洛藏族自治州,632600,1.337017990496138
13,2014,青海省,630000,果洛藏族自治州,632600,1.633664348203833
14,2015,青海省,630000,果洛藏族自治州,632600,1.4460408693469011
15,2016,青海省,630000,果洛藏族自治州,632600,1.984053173045117
16,2017,青海省,630000,果洛藏族自治州,632600,1.7956280721844229
17,2018,青海省,630000,果洛藏族自治州,632600,1.6116391264362615
18,2019,青海省,630000,果洛藏族自治州,632600,1.3497599066111243
19,2020,青海省,630000,果洛藏族自治州,632600,1.629803504313276
20,2021,青海省,630000,果洛藏族自治州,632600,1.9321302550527548
21,2022,青海省,630000,果洛藏族自治州,632600,-0.4216037639546804
