,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广西壮族自治区,450000,柳州市,450200,19.78029618672541
1,2002,广西壮族自治区,450000,柳州市,450200,20.034492089742702
2,2003,广西壮族自治区,450000,柳州市,450200,20.30168313188529
3,2004,广西壮族自治区,450000,柳州市,450200,20.006518294699056
4,2005,广西壮族自治区,450000,柳州市,450200,19.74331105983136
5,2006,广西壮族自治区,450000,柳州市,450200,20.105916969999477
6,2007,广西壮族自治区,450000,柳州市,450200,20.29777269391911
7,2008,广西壮族自治区,450000,柳州市,450200,19.543488881162133
8,2009,广西壮族自治区,450000,柳州市,450200,20.43333012724428
9,2010,广西壮族自治区,450000,柳州市,450200,19.85749642659538
10,2011,广西壮族自治区,450000,柳州市,450200,19.451171362038554
11,2012,广西壮族自治区,450000,柳州市,450200,19.220824886560703
12,2013,广西壮族自治区,450000,柳州市,450200,20.14912612911816
13,2014,广西壮族自治区,450000,柳州市,450200,20.08237619039381
14,2015,广西壮族自治区,450000,柳州市,450200,20.23136679277096
15,2016,广西壮族自治区,450000,柳州市,450200,20.503542981692664
16,2017,广西壮族自治区,450000,柳州市,450200,20.396657689013548
17,2018,广西壮族自治区,450000,柳州市,450200,19.61206396226599
18,2019,广西壮族自治区,450000,柳州市,450200,19.56037715987904
19,2020,广西壮族自治区,450000,柳州市,450200,19.64303885639101
20,2021,广西壮族自治区,450000,柳州市,450200,20.265020395939075
21,2022,广西壮族自治区,450000,柳州市,450200,16.796247377715122
