,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,云南省,530000,楚雄彝族自治州,532300,18.224735645038148
1,2002,云南省,530000,楚雄彝族自治州,532300,18.22696748547401
2,2003,云南省,530000,楚雄彝族自治州,532300,18.58060494096266
3,2004,云南省,530000,楚雄彝族自治州,532300,17.831333342521027
4,2005,云南省,530000,楚雄彝族自治州,532300,18.64909926384715
5,2006,云南省,530000,楚雄彝族自治州,532300,18.53318825952069
6,2007,云南省,530000,楚雄彝族自治州,532300,17.858160828028975
7,2008,云南省,530000,楚雄彝族自治州,532300,18.053771248003684
8,2009,云南省,530000,楚雄彝族自治州,532300,19.016485782012825
9,2010,云南省,530000,楚雄彝族自治州,532300,19.200045070091942
10,2011,云南省,530000,楚雄彝族自治州,532300,18.35102917825129
11,2012,云南省,530000,楚雄彝族自治州,532300,19.34234972390039
12,2013,云南省,530000,楚雄彝族自治州,532300,18.7770773472425
13,2014,云南省,530000,楚雄彝族自治州,532300,19.164411327056865
14,2015,云南省,530000,楚雄彝族自治州,532300,18.85255754676223
15,2016,云南省,530000,楚雄彝族自治州,532300,18.570538229800064
16,2017,云南省,530000,楚雄彝族自治州,532300,18.65084590805553
17,2018,云南省,530000,楚雄彝族自治州,532300,18.4507518511808
18,2019,云南省,530000,楚雄彝族自治州,532300,19.67760198235784
19,2020,云南省,530000,楚雄彝族自治州,532300,19.25653950507809
20,2021,云南省,530000,楚雄彝族自治州,532300,19.33225929669779
21,2022,云南省,530000,楚雄彝族自治州,532300,17.603406864409603
