,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,陕西省,610000,榆林市,610800,9.905701508310496
1,2002,陕西省,610000,榆林市,610800,9.9699538881141
2,2003,陕西省,610000,榆林市,610800,9.143966261727718
3,2004,陕西省,610000,榆林市,610800,9.566757023590174
4,2005,陕西省,610000,榆林市,610800,9.260101618248427
5,2006,陕西省,610000,榆林市,610800,10.146014180569544
6,2007,陕西省,610000,榆林市,610800,9.927675010132932
7,2008,陕西省,610000,榆林市,610800,9.03049235644485
8,2009,陕西省,610000,榆林市,610800,9.695705910824376
9,2010,陕西省,610000,榆林市,610800,9.595077869576174
10,2011,陕西省,610000,榆林市,610800,9.07938132393714
11,2012,陕西省,610000,榆林市,610800,8.814440665836415
12,2013,陕西省,610000,榆林市,610800,10.155638434646706
13,2014,陕西省,610000,榆林市,610800,9.903989014191668
14,2015,陕西省,610000,榆林市,610800,10.135068807680712
15,2016,陕西省,610000,榆林市,610800,9.944760863081733
16,2017,陕西省,610000,榆林市,610800,10.110097230940552
17,2018,陕西省,610000,榆林市,610800,9.787140245292854
18,2019,陕西省,610000,榆林市,610800,10.091243011478356
19,2020,陕西省,610000,榆林市,610800,9.754062558911034
20,2021,陕西省,610000,榆林市,610800,10.53471619395774
21,2022,陕西省,610000,榆林市,610800,8.919352602805231
