,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,贵州省,520000,毕节市,520500,13.939383268737972
1,2002,贵州省,520000,毕节市,520500,14.178614926373932
2,2003,贵州省,520000,毕节市,520500,14.31188672149984
3,2004,贵州省,520000,毕节市,520500,13.729205882109142
4,2005,贵州省,520000,毕节市,520500,13.853938623553969
5,2006,贵州省,520000,毕节市,520500,14.431298765679204
6,2007,贵州省,520000,毕节市,520500,14.22524382315546
7,2008,贵州省,520000,毕节市,520500,13.617994203040416
8,2009,贵州省,520000,毕节市,520500,14.464005208117726
9,2010,贵州省,520000,毕节市,520500,14.268305599356095
10,2011,贵州省,520000,毕节市,520500,13.54363232839001
11,2012,贵州省,520000,毕节市,520500,13.390233057498106
12,2013,贵州省,520000,毕节市,520500,14.6235418502861
13,2014,贵州省,520000,毕节市,520500,14.03843612050651
14,2015,贵州省,520000,毕节市,520500,14.674339003314984
15,2016,贵州省,520000,毕节市,520500,14.492356297895432
16,2017,贵州省,520000,毕节市,520500,14.455058641811036
17,2018,贵州省,520000,毕节市,520500,14.2320291915778
18,2019,贵州省,520000,毕节市,520500,14.689534908750048
19,2020,贵州省,520000,毕节市,520500,14.348989392171331
20,2021,贵州省,520000,毕节市,520500,14.612747581191613
21,2022,贵州省,520000,毕节市,520500,12.357802501835522
