,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,安徽省,340000,池州市,341700,15.40778179454763
1,2002,安徽省,340000,池州市,341700,15.76788804314078
2,2003,安徽省,340000,池州市,341700,15.540937051083237
3,2004,安徽省,340000,池州市,341700,15.771326789247317
4,2005,安徽省,340000,池州市,341700,15.446233134598494
5,2006,安徽省,340000,池州市,341700,15.933107081330066
6,2007,安徽省,340000,池州市,341700,16.140715466699305
7,2008,安徽省,340000,池州市,341700,15.393534376864926
8,2009,安徽省,340000,池州市,341700,15.637864923164308
9,2010,安徽省,340000,池州市,341700,15.29527337549778
10,2011,安徽省,340000,池州市,341700,14.967374899157742
11,2012,安徽省,340000,池州市,341700,14.933706873832984
12,2013,安徽省,340000,池州市,341700,15.682166294040057
13,2014,安徽省,340000,池州市,341700,15.221672376919429
14,2015,安徽省,340000,池州市,341700,15.2767368499825
15,2016,安徽省,340000,池州市,341700,15.730790879603296
16,2017,安徽省,340000,池州市,341700,15.80595761804443
17,2018,安徽省,340000,池州市,341700,15.813218259169766
18,2019,安徽省,340000,池州市,341700,15.909419152464515
19,2020,安徽省,340000,池州市,341700,15.778616543142268
20,2021,安徽省,340000,池州市,341700,16.249668644820986
21,2022,安徽省,340000,池州市,341700,13.283260888333558
