,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,山东省,370000,济南市,370100,12.27053286507138
1,2002,山东省,370000,济南市,370100,12.786509569016976
2,2003,山东省,370000,济南市,370100,11.792049258533488
3,2004,山东省,370000,济南市,370100,12.470553664869168
4,2005,山东省,370000,济南市,370100,11.99300194790128
5,2006,山东省,370000,济南市,370100,12.896234234698568
6,2007,山东省,370000,济南市,370100,12.819053735037398
7,2008,山东省,370000,济南市,370100,12.200479694167138
8,2009,山东省,370000,济南市,370100,12.449908924793476
9,2010,山东省,370000,济南市,370100,11.906504327136252
10,2011,山东省,370000,济南市,370100,11.751933359386577
11,2012,山东省,370000,济南市,370100,11.878327940802045
12,2013,山东省,370000,济南市,370100,12.408854751443862
13,2014,山东省,370000,济南市,370100,12.960179304589587
14,2015,山东省,370000,济南市,370100,12.680189643451811
15,2016,山东省,370000,济南市,370100,13.003098107943622
16,2017,山东省,370000,济南市,370100,13.21854936554042
17,2018,山东省,370000,济南市,370100,12.926828921256975
18,2019,山东省,370000,济南市,370100,13.409108922874582
19,2020,山东省,370000,济南市,370100,12.981902878027151
20,2021,山东省,370000,济南市,370100,13.362607703559668
21,2022,山东省,370000,济南市,370100,11.36072582245032
