,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,青海省,630000,海北藏族自治州,632200,4.003731536591294
1,2002,青海省,630000,海北藏族自治州,632200,4.0768113400297965
2,2003,青海省,630000,海北藏族自治州,632200,4.100465288256349
3,2004,青海省,630000,海北藏族自治州,632200,3.788524922184113
4,2005,青海省,630000,海北藏族自治州,632200,3.860218831321331
5,2006,青海省,630000,海北藏族自治州,632200,4.435273958759238
6,2007,青海省,630000,海北藏族自治州,632200,4.165267471001462
7,2008,青海省,630000,海北藏族自治州,632200,3.6665918275144858
8,2009,青海省,630000,海北藏族自治州,632200,4.317522211355702
9,2010,青海省,630000,海北藏族自治州,632200,4.402612221597227
10,2011,青海省,630000,海北藏族自治州,632200,3.80746126453147
11,2012,青海省,630000,海北藏族自治州,632200,3.370062388717217
12,2013,青海省,630000,海北藏族自治州,632200,4.511822708695592
13,2014,青海省,630000,海北藏族自治州,632200,4.003847504338984
14,2015,青海省,630000,海北藏族自治州,632200,4.410430176288736
15,2016,青海省,630000,海北藏族自治州,632200,4.718736235079568
16,2017,青海省,630000,海北藏族自治州,632200,4.399999319622928
17,2018,青海省,630000,海北藏族自治州,632200,4.078191215094093
18,2019,青海省,630000,海北藏族自治州,632200,4.141153059674423
19,2020,青海省,630000,海北藏族自治州,632200,4.030545428406679
20,2021,青海省,630000,海北藏族自治州,632200,4.395288120768066
21,2022,青海省,630000,海北藏族自治州,632200,2.905290002741268
