,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,陕西省,610000,渭南市,610500,10.50965151533756
1,2002,陕西省,610000,渭南市,610500,10.968951243237074
2,2003,陕西省,610000,渭南市,610500,9.92697826304494
3,2004,陕西省,610000,渭南市,610500,10.547352344172513
4,2005,陕西省,610000,渭南市,610500,10.16310989014846
5,2006,陕西省,610000,渭南市,610500,11.103980229074889
6,2007,陕西省,610000,渭南市,610500,11.18281099539477
7,2008,陕西省,610000,渭南市,610500,10.449034259608156
8,2009,陕西省,610000,渭南市,610500,10.996451467240483
9,2010,陕西省,610000,渭南市,610500,10.99122073473172
10,2011,陕西省,610000,渭南市,610500,10.281959456911736
11,2012,陕西省,610000,渭南市,610500,10.278287105286438
12,2013,陕西省,610000,渭南市,610500,11.774401146035837
13,2014,陕西省,610000,渭南市,610500,10.99895961460054
14,2015,陕西省,610000,渭南市,610500,11.151004547643682
15,2016,陕西省,610000,渭南市,610500,11.461329432582168
16,2017,陕西省,610000,渭南市,610500,11.344484925941124
17,2018,陕西省,610000,渭南市,610500,11.141230302921828
18,2019,陕西省,610000,渭南市,610500,11.165822114472965
19,2020,陕西省,610000,渭南市,610500,11.045352127067686
20,2021,陕西省,610000,渭南市,610500,11.54613502573932
21,2022,陕西省,610000,渭南市,610500,10.223224145381316
