,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,湘西土家族苗族自治州,433100,16.96028745406637
1,2002,湖南省,430000,湘西土家族苗族自治州,433100,16.92062874855763
2,2003,湖南省,430000,湘西土家族苗族自治州,433100,16.829150082561565
3,2004,湖南省,430000,湘西土家族苗族自治州,433100,16.97743775246656
4,2005,湖南省,430000,湘西土家族苗族自治州,433100,16.759865708757964
5,2006,湖南省,430000,湘西土家族苗族自治州,433100,17.54071660992513
6,2007,湖南省,430000,湘西土家族苗族自治州,433100,17.0839456240839
7,2008,湖南省,430000,湘西土家族苗族自治州,433100,16.849938736814654
8,2009,湖南省,430000,湘西土家族苗族自治州,433100,17.202539893740184
9,2010,湖南省,430000,湘西土家族苗族自治州,433100,16.76423084467167
10,2011,湖南省,430000,湘西土家族苗族自治州,433100,16.65103317629595
11,2012,湖南省,430000,湘西土家族苗族自治州,433100,15.986130166995844
12,2013,湖南省,430000,湘西土家族苗族自治州,433100,17.45206888531691
13,2014,湖南省,430000,湘西土家族苗族自治州,433100,16.753479845849444
14,2015,湖南省,430000,湘西土家族苗族自治州,433100,17.11454419513107
15,2016,湖南省,430000,湘西土家族苗族自治州,433100,17.229423581797878
16,2017,湖南省,430000,湘西土家族苗族自治州,433100,17.21656660474118
17,2018,湖南省,430000,湘西土家族苗族自治州,433100,17.13669151539738
18,2019,湖南省,430000,湘西土家族苗族自治州,433100,17.022302830235613
19,2020,湖南省,430000,湘西土家族苗族自治州,433100,16.775196019173084
20,2021,湖南省,430000,湘西土家族苗族自治州,433100,17.56910029261788
21,2022,湖南省,430000,湘西土家族苗族自治州,433100,14.616700102065698
