,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,山东省,370000,烟台市,370600,13.007143920248772
1,2002,山东省,370000,烟台市,370600,13.241750116437148
2,2003,山东省,370000,烟台市,370600,12.59612475770385
3,2004,山东省,370000,烟台市,370600,13.506963720687557
4,2005,山东省,370000,烟台市,370600,12.717755937746714
5,2006,山东省,370000,烟台市,370600,13.363646929942156
6,2007,山东省,370000,烟台市,370600,13.669811689127409
7,2008,山东省,370000,烟台市,370600,12.888153361917311
8,2009,山东省,370000,烟台市,370600,13.08083593090138
9,2010,山东省,370000,烟台市,370600,12.351176013445908
10,2011,山东省,370000,烟台市,370600,12.313925387606355
11,2012,山东省,370000,烟台市,370600,12.406477602662934
12,2013,山东省,370000,烟台市,370600,12.827557242249652
13,2014,山东省,370000,烟台市,370600,13.678935436389908
14,2015,山东省,370000,烟台市,370600,13.551329834324427
15,2016,山东省,370000,烟台市,370600,13.65461235775726
16,2017,山东省,370000,烟台市,370600,13.891112722162276
17,2018,山东省,370000,烟台市,370600,13.277419396997525
18,2019,山东省,370000,烟台市,370600,13.9031536822362
19,2020,山东省,370000,烟台市,370600,13.580196293410747
20,2021,山东省,370000,烟台市,370600,13.82190739787914
21,2022,山东省,370000,烟台市,370600,10.569546532347706
