,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,云南省,530000,玉溪市,530400,19.951121144953245
1,2002,云南省,530000,玉溪市,530400,19.89640278582084
2,2003,云南省,530000,玉溪市,530400,20.287764988644835
3,2004,云南省,530000,玉溪市,530400,19.550082932339084
4,2005,云南省,530000,玉溪市,530400,20.30263426855561
5,2006,云南省,530000,玉溪市,530400,20.283677806371053
6,2007,云南省,530000,玉溪市,530400,19.743029982648007
7,2008,云南省,530000,玉溪市,530400,19.59712846161077
8,2009,云南省,530000,玉溪市,530400,20.712211287511547
9,2010,云南省,530000,玉溪市,530400,20.84325555579265
10,2011,云南省,530000,玉溪市,530400,19.80994661665315
11,2012,云南省,530000,玉溪市,530400,20.867249899599333
12,2013,云南省,530000,玉溪市,530400,20.353072215056567
13,2014,云南省,530000,玉溪市,530400,20.64729686006501
14,2015,云南省,530000,玉溪市,530400,20.56503978978592
15,2016,云南省,530000,玉溪市,530400,20.178727737003143
16,2017,云南省,530000,玉溪市,530400,20.122804998941515
17,2018,云南省,530000,玉溪市,530400,19.959876409987046
18,2019,云南省,530000,玉溪市,530400,21.272893223673528
19,2020,云南省,530000,玉溪市,530400,20.712395484235707
20,2021,云南省,530000,玉溪市,530400,20.48903691930505
21,2022,云南省,530000,玉溪市,530400,18.939893182132295
