,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广东省,440000,珠海市,440400,23.11629232805204
1,2002,广东省,440000,珠海市,440400,23.183646742858887
2,2003,广东省,440000,珠海市,440400,22.841945321307715
3,2004,广东省,440000,珠海市,440400,23.042250754544813
4,2005,广东省,440000,珠海市,440400,22.77266819895337
5,2006,广东省,440000,珠海市,440400,23.30260614619743
6,2007,广东省,440000,珠海市,440400,23.44870795162221
7,2008,广东省,440000,珠海市,440400,22.66406657959348
8,2009,广东省,440000,珠海市,440400,23.27487362369823
9,2010,广东省,440000,珠海市,440400,22.99388465026733
10,2011,广东省,440000,珠海市,440400,22.612275550311026
11,2012,广东省,440000,珠海市,440400,23.0882127484649
12,2013,广东省,440000,珠海市,440400,23.09890840965337
13,2014,广东省,440000,珠海市,440400,23.275469708641563
14,2015,广东省,440000,珠海市,440400,23.91027504055261
15,2016,广东省,440000,珠海市,440400,23.35956891386305
16,2017,广东省,440000,珠海市,440400,23.677202029987228
17,2018,广东省,440000,珠海市,440400,23.460814652230574
18,2019,广东省,440000,珠海市,440400,24.252803401298724
19,2020,广东省,440000,珠海市,440400,23.99521469205754
20,2021,广东省,440000,珠海市,440400,24.207785504181377
21,2022,广东省,440000,珠海市,440400,21.47434676181734
