,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,甘肃省,620000,甘南藏族自治州,623000,4.907735786406884
1,2002,甘肃省,620000,甘南藏族自治州,623000,4.973576370625344
2,2003,甘肃省,620000,甘南藏族自治州,623000,5.166681400172162
3,2004,甘肃省,620000,甘南藏族自治州,623000,4.48782152445607
4,2005,甘肃省,620000,甘南藏族自治州,623000,4.751423043604741
5,2006,甘肃省,620000,甘南藏族自治州,623000,5.389666987779274
6,2007,甘肃省,620000,甘南藏族自治州,623000,4.786014233251237
7,2008,甘肃省,620000,甘南藏族自治州,623000,4.364334579896644
8,2009,甘肃省,620000,甘南藏族自治州,623000,5.06982874491042
9,2010,甘肃省,620000,甘南藏族自治州,623000,5.113961224636896
10,2011,甘肃省,620000,甘南藏族自治州,623000,4.577109999949497
11,2012,甘肃省,620000,甘南藏族自治州,623000,4.527063644081884
12,2013,甘肃省,620000,甘南藏族自治州,623000,5.02118458439395
13,2014,甘肃省,620000,甘南藏族自治州,623000,4.909241648891335
14,2015,甘肃省,620000,甘南藏族自治州,623000,5.068430516460503
15,2016,甘肃省,620000,甘南藏族自治州,623000,5.370912152913632
16,2017,甘肃省,620000,甘南藏族自治州,623000,5.0979517960241045
17,2018,甘肃省,620000,甘南藏族自治州,623000,5.028634427877077
18,2019,甘肃省,620000,甘南藏族自治州,623000,4.926051948600763
19,2020,甘肃省,620000,甘南藏族自治州,623000,4.838195056469065
20,2021,甘肃省,620000,甘南藏族自治州,623000,5.058311554352062
21,2022,甘肃省,620000,甘南藏族自治州,623000,3.3671897656594267
