,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,甘孜藏族自治州,513300,6.515527093035104
1,2002,四川省,510000,甘孜藏族自治州,513300,6.524025597093619
2,2003,四川省,510000,甘孜藏族自治州,513300,6.975265801031054
3,2004,四川省,510000,甘孜藏族自治州,513300,6.280206033795764
4,2005,四川省,510000,甘孜藏族自治州,513300,6.856392066663225
5,2006,四川省,510000,甘孜藏族自治州,513300,7.278945553038859
6,2007,四川省,510000,甘孜藏族自治州,513300,7.07510530807379
7,2008,四川省,510000,甘孜藏族自治州,513300,6.646951591996956
8,2009,四川省,510000,甘孜藏族自治州,513300,7.518890969546656
9,2010,四川省,510000,甘孜藏族自治州,513300,7.076275381975312
10,2011,四川省,510000,甘孜藏族自治州,513300,6.753581662336608
11,2012,四川省,510000,甘孜藏族自治州,513300,6.793515379921892
12,2013,四川省,510000,甘孜藏族自治州,513300,6.950049105753639
13,2014,四川省,510000,甘孜藏族自治州,513300,7.285798718523302
14,2015,四川省,510000,甘孜藏族自治州,513300,7.060958962687398
15,2016,四川省,510000,甘孜藏族自治州,513300,7.459167261296232
16,2017,四川省,510000,甘孜藏族自治州,513300,7.479576586217661
17,2018,四川省,510000,甘孜藏族自治州,513300,7.138139884606649
18,2019,四川省,510000,甘孜藏族自治州,513300,7.26706644513531
19,2020,四川省,510000,甘孜藏族自治州,513300,7.328121302985284
20,2021,四川省,510000,甘孜藏族自治州,513300,7.775744751906071
21,2022,四川省,510000,甘孜藏族自治州,513300,5.238327692410315
