,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,辽宁省,210000,盘锦市,211100,9.2486502699159
1,2002,辽宁省,210000,盘锦市,211100,10.015454423805254
2,2003,辽宁省,210000,盘锦市,211100,9.94752474037896
3,2004,辽宁省,210000,盘锦市,211100,10.250895030458674
4,2005,辽宁省,210000,盘锦市,211100,9.311658975124928
5,2006,辽宁省,210000,盘锦市,211100,9.65671677930592
6,2007,辽宁省,210000,盘锦市,211100,10.485947216544035
7,2008,辽宁省,210000,盘锦市,211100,10.039001591836277
8,2009,辽宁省,210000,盘锦市,211100,9.492734832193213
9,2010,辽宁省,210000,盘锦市,211100,8.70406114811979
10,2011,辽宁省,210000,盘锦市,211100,9.38979686985221
11,2012,辽宁省,210000,盘锦市,211100,8.765553369459818
12,2013,辽宁省,210000,盘锦市,211100,9.22304077816351
13,2014,辽宁省,210000,盘锦市,211100,10.443536007344042
14,2015,辽宁省,210000,盘锦市,211100,10.131643433461011
15,2016,辽宁省,210000,盘锦市,211100,10.013694805398837
16,2017,辽宁省,210000,盘锦市,211100,10.532621101774124
17,2018,辽宁省,210000,盘锦市,211100,9.965512484165531
18,2019,辽宁省,210000,盘锦市,211100,10.63947446106948
19,2020,辽宁省,210000,盘锦市,211100,10.359611034037645
20,2021,辽宁省,210000,盘锦市,211100,10.262830456473695
21,2022,辽宁省,210000,盘锦市,211100,7.177836570642991
