,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,神农架林区,429021,15.802077449401658
1,2002,湖北省,420000,神农架林区,429021,15.927681523213543
2,2003,湖北省,420000,神农架林区,429021,15.5488095825313
3,2004,湖北省,420000,神农架林区,429021,16.13707781152165
4,2005,湖北省,420000,神农架林区,429021,15.690232357301367
5,2006,湖北省,420000,神农架林区,429021,16.57155292846203
6,2007,湖北省,420000,神农架林区,429021,16.25739667148797
7,2008,湖北省,420000,神农架林区,429021,15.789559838247582
8,2009,湖北省,420000,神农架林区,429021,16.045149139366913
9,2010,湖北省,420000,神农架林区,429021,15.925991627274875
10,2011,湖北省,420000,神农架林区,429021,15.773616653747986
11,2012,湖北省,420000,神农架林区,429021,15.614049485262292
12,2013,湖北省,420000,神农架林区,429021,16.580370753927866
13,2014,湖北省,420000,神农架林区,429021,15.980690542814168
14,2015,湖北省,420000,神农架林区,429021,16.24564192478569
15,2016,湖北省,420000,神农架林区,429021,16.679699811239736
16,2017,湖北省,420000,神农架林区,429021,16.37026094208496
17,2018,湖北省,420000,神农架林区,429021,16.35644457822537
18,2019,湖北省,420000,神农架林区,429021,16.34271834208585
19,2020,湖北省,420000,神农架林区,429021,16.21912417272236
20,2021,湖北省,420000,神农架林区,429021,16.589996670316467
21,2022,湖北省,420000,神农架林区,429021,14.570178899120933
