,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,绵阳市,510700,15.715373483306712
1,2002,四川省,510000,绵阳市,510700,15.753410782618005
2,2003,四川省,510000,绵阳市,510700,15.360619386101623
3,2004,四川省,510000,绵阳市,510700,15.270681954165164
4,2005,四川省,510000,绵阳市,510700,15.135205026627167
5,2006,四川省,510000,绵阳市,510700,16.13106934696783
6,2007,四川省,510000,绵阳市,510700,15.518303963410776
7,2008,四川省,510000,绵阳市,510700,14.81581796529816
8,2009,四川省,510000,绵阳市,510700,15.150068642222696
9,2010,四川省,510000,绵阳市,510700,14.906534079980572
10,2011,四川省,510000,绵阳市,510700,14.694734091634247
11,2012,四川省,510000,绵阳市,510700,14.625787598433652
12,2013,四川省,510000,绵阳市,510700,15.626130070453762
13,2014,四川省,510000,绵阳市,510700,15.09649885178623
14,2015,四川省,510000,绵阳市,510700,15.783701224605332
15,2016,四川省,510000,绵阳市,510700,15.72283822327367
16,2017,四川省,510000,绵阳市,510700,15.513609205548626
17,2018,四川省,510000,绵阳市,510700,15.365010559608503
18,2019,四川省,510000,绵阳市,510700,15.29823873036645
19,2020,四川省,510000,绵阳市,510700,15.463984568604422
20,2021,四川省,510000,绵阳市,510700,15.48488719290174
21,2022,四川省,510000,绵阳市,510700,14.045749044279503
