,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广东省,440000,茂名市,440900,23.266565751885427
1,2002,广东省,440000,茂名市,440900,23.4818618354379
2,2003,广东省,440000,茂名市,440900,23.906064812770754
3,2004,广东省,440000,茂名市,440900,23.18759778893753
4,2005,广东省,440000,茂名市,440900,23.12402766495361
5,2006,广东省,440000,茂名市,440900,23.563201729241204
6,2007,广东省,440000,茂名市,440900,23.43770236314384
7,2008,广东省,440000,茂名市,440900,22.52972096766035
8,2009,广东省,440000,茂名市,440900,23.422116334120105
9,2010,广东省,440000,茂名市,440900,23.27445237934557
10,2011,广东省,440000,茂名市,440900,22.467240982609365
11,2012,广东省,440000,茂名市,440900,22.666158911477435
12,2013,广东省,440000,茂名市,440900,22.73001913483573
13,2014,广东省,440000,茂名市,440900,22.82981772103565
14,2015,广东省,440000,茂名市,440900,23.489133042679253
15,2016,广东省,440000,茂名市,440900,23.11363474884949
16,2017,广东省,440000,茂名市,440900,23.12027902017205
17,2018,广东省,440000,茂名市,440900,23.020413888303512
18,2019,广东省,440000,茂名市,440900,23.83530400120081
19,2020,广东省,440000,茂名市,440900,23.626780217176503
20,2021,广东省,440000,茂名市,440900,23.691865524589687
21,2022,广东省,440000,茂名市,440900,21.253061614875364
