,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,安徽省,340000,蚌埠市,340300,16.14308406553465
1,2002,安徽省,340000,蚌埠市,340300,16.537909682716876
2,2003,安徽省,340000,蚌埠市,340300,15.390227258008316
3,2004,安徽省,340000,蚌埠市,340300,16.58953087450444
4,2005,安徽省,340000,蚌埠市,340300,15.95990603905672
5,2006,安徽省,340000,蚌埠市,340300,16.48842751232186
6,2007,安徽省,340000,蚌埠市,340300,16.599989909010475
7,2008,安徽省,340000,蚌埠市,340300,15.615185576959457
8,2009,安徽省,340000,蚌埠市,340300,15.624130516561832
9,2010,安徽省,340000,蚌埠市,340300,15.59773351618459
10,2011,安徽省,340000,蚌埠市,340300,15.399343081480396
11,2012,安徽省,340000,蚌埠市,340300,15.549058544605767
12,2013,安徽省,340000,蚌埠市,340300,15.894632576140246
13,2014,安徽省,340000,蚌埠市,340300,15.615329801841265
14,2015,安徽省,340000,蚌埠市,340300,15.466745938596157
15,2016,安徽省,340000,蚌埠市,340300,15.922864028201191
16,2017,安徽省,340000,蚌埠市,340300,16.34006793782247
17,2018,安徽省,340000,蚌埠市,340300,16.244881892044344
18,2019,安徽省,340000,蚌埠市,340300,16.38561782690599
19,2020,安徽省,340000,蚌埠市,340300,16.35912421361026
20,2021,安徽省,340000,蚌埠市,340300,16.70414904804475
21,2022,安徽省,340000,蚌埠市,340300,14.614877482874196
