,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,云南省,530000,西双版纳傣族自治州,532800,21.625539461643385
1,2002,云南省,530000,西双版纳傣族自治州,532800,21.54316551763205
2,2003,云南省,530000,西双版纳傣族自治州,532800,21.831679354436464
3,2004,云南省,530000,西双版纳傣族自治州,532800,21.373842272149805
4,2005,云南省,530000,西双版纳傣族自治州,532800,21.986402425547517
5,2006,云南省,530000,西双版纳傣族自治州,532800,22.017562884380613
6,2007,云南省,530000,西双版纳傣族自治州,532800,21.601550354007028
7,2008,云南省,530000,西双版纳傣族自治州,532800,21.48119425763741
8,2009,云南省,530000,西双版纳傣族自治州,532800,22.00027597529471
9,2010,云南省,530000,西双版纳傣族自治州,532800,22.39439405549293
10,2011,云南省,530000,西双版纳傣族自治州,532800,21.710442235050056
11,2012,云南省,530000,西双版纳傣族自治州,532800,22.317289306998397
12,2013,云南省,530000,西双版纳傣族自治州,532800,21.95010718034064
13,2014,云南省,530000,西双版纳傣族自治州,532800,22.261323354200574
14,2015,云南省,530000,西双版纳傣族自治州,532800,22.123340713130904
15,2016,云南省,530000,西双版纳傣族自治州,532800,22.10854116183742
16,2017,云南省,530000,西双版纳傣族自治州,532800,22.134172987405893
17,2018,云南省,530000,西双版纳傣族自治州,532800,21.65731749956846
18,2019,云南省,530000,西双版纳傣族自治州,532800,22.63411217545181
19,2020,云南省,530000,西双版纳傣族自治州,532800,22.51239434774664
20,2021,云南省,530000,西双版纳傣族自治州,532800,22.07473776178753
21,2022,云南省,530000,西双版纳傣族自治州,532800,21.38890598352805
