,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,吉林省,220000,通化市,220500,6.788969075010157
1,2002,吉林省,220000,通化市,220500,7.477878861062781
2,2003,吉林省,220000,通化市,220500,7.519873748618791
3,2004,吉林省,220000,通化市,220500,7.669960422977716
4,2005,吉林省,220000,通化市,220500,6.262715854511435
5,2006,吉林省,220000,通化市,220500,7.177571469615157
6,2007,吉林省,220000,通化市,220500,7.827360108327422
7,2008,吉林省,220000,通化市,220500,7.631046495262031
8,2009,吉林省,220000,通化市,220500,6.8383949783423015
9,2010,吉林省,220000,通化市,220500,6.229382306798718
10,2011,吉林省,220000,通化市,220500,6.499235190268396
11,2012,吉林省,220000,通化市,220500,6.047657194812586
12,2013,吉林省,220000,通化市,220500,6.471130692708106
13,2014,吉林省,220000,通化市,220500,7.480571300852943
14,2015,吉林省,220000,通化市,220500,7.4269011606199555
15,2016,吉林省,220000,通化市,220500,7.096487229158462
16,2017,吉林省,220000,通化市,220500,7.115232944851325
17,2018,吉林省,220000,通化市,220500,7.1184461538029815
18,2019,吉林省,220000,通化市,220500,7.848643110515272
19,2020,吉林省,220000,通化市,220500,7.649364498290144
20,2021,吉林省,220000,通化市,220500,7.744983593874584
21,2022,吉林省,220000,通化市,220500,4.329728901925301
